,Unnamed: 0,ticker,name,website,headquarter,employees,industry,type,source
0,0,HUN,Huntsman Corporation,http://www.huntsman.com,"10003 Woodloch Forest Drive The Woodlands, TX 77380 United States 281-719-6000 http://www.huntsman.com",9000,Chemicals,,yahoo
1,1,INPOY,InPost S.A.,http://www.inpost.eu,"2-4, rue Beck Luxemburg 1222 Luxembourg  http://www.inpost.eu",0,Specialty Business Services,,yahoo
2,2,BPHLY,Bank of the Philippine Islands,http://www.bpi.com.ph,Tower One Ayala North Exchange 6796 Ayala Avenue corner Salcedo Street Legaspi Village Makati City 1229 Philippines 63 2 8891 0000 http://www.bpi.com.ph,19952,Banks—Regional,,yahoo
3,3,RDFN,Redfin Corporation,http://www.redfin.com,"1099 Stewart Street Suite 600 Seattle, WA 98101 United States 206 576 8333 http://www.redfin.com",4185,Real Estate Services,,yahoo
4,4,PHI,PLDT Inc.,http://pldt.com,Ramon Cojuangco Building Makati Avenue Corner Ayala Avenue Legaspi Village Makati City 1200 Philippines 63 2 8816 8056 http://pldt.com,18906,Telecom Services,,yahoo
5,5,STAA,STAAR Surgical Company,http://www.staar.com,"25651 Atlantic Ocean Drive Lake Forest, CA 92630 United States 626 303 7902 http://www.staar.com",575,Medical Instruments & Supplies,,yahoo
6,6,IMIAF,IMI plc,http://www.imiplc.com,Lakeside Solihull Parkway Birmingham Business Park Birmingham B37 7XZ United Kingdom 44 12 1717 3700 http://www.imiplc.com,10000,Specialty Industrial Machinery,,yahoo
7,7,NCLH,Norwegian Cruise Line Holdings Ltd.,http://www.nclhltd.com,"7665 Corporate Center Drive Miami, FL 33126 United States 305 436 4000 http://www.nclhltd.com",34300,Travel Services,,yahoo
8,8,UVRBF,Universal Robina Corporation,http://www.urc.com.ph,"Tera Tower 8th Floor Bridgetowne, East Rodriguez Jr. Avenue (C5 Road), Ugong Norte Quezon City 1110 Philippines 63 2 633 7631 http://www.urc.com.ph",14260,Packaged Foods,,yahoo
9,9,AZPN,"Aspen Technology, Inc.",http://www.aspentech.com,"20 Crosby Drive Bedford, MA 01730 United States 781 221 6400 http://www.aspentech.com",1897,Software—Application,,yahoo
10,10,GPS,"The Gap, Inc.",http://www.gapinc.com,"Two Folsom Street San Francisco, CA 94105 United States 415 427 0100 http://www.gapinc.com",117000,Apparel Retail,,yahoo
11,11,MTPOY,Metropolitan Bank & Trust Company,http://www.metrobank.com.ph,Metrobank Plaza Sen. Gil J. Puyat Avenue Urdaneta Village Makati City 1200 Philippines 63 2 88 700 700 http://www.metrobank.com.ph,13718,Banks—Regional,,yahoo
12,12,UEPEN,Union Electric Company,http://www.ameren.com/missouri,"1901 Chouteau Avenue Saint Louis, MO 63103 United States 314 621 3222 http://www.ameren.com/missouri",3997,Utilities—Regulated Electric,,yahoo
13,13,CPYYF,Centrica plc,http://www.centrica.com,Millstream Maidenhead Road Windsor SL4 5GD United Kingdom 44 17 5349 4000 http://www.centrica.com,19711,Utilities—Independent Power Producers,,yahoo
14,14,SCTBF,Securitas AB,http://www.securitas.com,Lindhagensplan 70 Stockholm 102 28 Sweden 46 1 04 70 30 00 http://www.securitas.com,308850,Security & Protection Services,,yahoo
15,15,TMTNF,Toromont Industries Ltd.,http://www.toromont.com,"3131 Highway 7 West PO Box 5511 Concord, ON L4K 1B7 Canada 416 667 5511 http://www.toromont.com",6000,Industrial Distribution,,yahoo
16,16,CHOLF,China Oilfield Services Limited,http://www.cosl.com.cn,201 Haiyou Avenue Yanjiao Economic & Technological Dev Zn Sanhe 065201 China 86 10 8452 1687 http://www.cosl.com.cn,14602,Oil & Gas Equipment & Services,,yahoo
17,17,POR,Portland General Electric Company,http://www.portlandgeneral.com,"121 South West Salmon Street Portland, OR 97204 United States 503 464 8000 http://www.portlandgeneral.com",3639,Utilities—Regulated Electric,,yahoo
18,18,MSA,MSA Safety Incorporated,http://www.msasafety.com,"1000 Cranberry Woods Drive Cranberry Township, PA 16066-5207 United States 724 776 8600 http://www.msasafety.com",5200,Security & Protection Services,,yahoo
19,19,BFAM,Bright Horizons Family Solutions Inc.,http://www.brighthorizons.com,"2 Wells Avenue Newton, MA 02459 United States 617 673 8000 http://www.brighthorizons.com",26800,Personal Services,,yahoo
20,20,MTG,MGIC Investment Corporation,http://mtg.mgic.com,"MGIC Plaza 250 East Kilbourn Avenue Milwaukee, WI 53202 United States 414 347 6480 http://mtg.mgic.com",739,Insurance—Specialty,,yahoo
21,21,HCM,Hutchison China MediTech Limited,http://www.hutch-med.com,Cheung Kong Center 48th Floor 2 Queen's Road Central Hong Kong 852 2128 1188 http://www.hutch-med.com,1280,Biotechnology,,yahoo
22,22,IS,ironSource Ltd.,http://www.is.com,Azieli Sarona Tower 121 Menachem Begin Street Tel Aviv 6701203 Israel 972 7 479 90001 http://www.is.com,859,Software—Application,,yahoo
23,23,FUPBY,Fuchs Petrolub SE,http://www.fuchs.com/group,Friesenheimer Strasse 17 Mannheim 68169 Germany 49 621 3802 0 http://www.fuchs.com/group,5947,Specialty Chemicals,,yahoo
24,24,FUTU,Futu Holdings Limited,http://www.futuholdings.com,Bangkok Bank Building 11th Floor No. 18 Bonham Strand West Sheung Wan Hong Kong Hong Kong 852 2523 3588 http://www.futuholdings.com,1315,Capital Markets,,yahoo
25,25,AZNNY,Aurizon Holdings Limited,http://www.aurizon.com.au,"900 Ann Street Level 8 Fortitude Valley, QLD 4006 Australia 61 7 3019 9000 http://www.aurizon.com.au",4825,Railroads,,yahoo
26,26,KOTMY,"Koito Manufacturing Co., Ltd.",http://www.koito.co.jp,"4-8-3, Takanawa Minato-ku Tokyo 108-8711 Japan 81 3 3443 7111 http://www.koito.co.jp",23799,Auto Parts,,yahoo
27,27,RL,Ralph Lauren Corporation,http://www.ralphlauren.com,"650 Madison Avenue New York, NY 10022 United States 212 318 7000 http://www.ralphlauren.com",12100,Apparel Manufacturing,,yahoo
28,28,NVST,Envista Holdings Corporation,http://www.envistaco.com,"Building E 200 South Kraemer Boulevard Brea, CA 92821-6208 United States 714 817 7000 http://www.envistaco.com",12400,Medical Instruments & Supplies,,yahoo
29,29,UNM,Unum Group,http://www.unum.com,"1 Fountain Square Chattanooga, TN 37402 United States 423 294 1011 http://www.unum.com",10300,Insurance—Life,,yahoo
30,30,SHPMY,"Shanghai Pharmaceuticals Holding Co., Ltd",http://www.sphchina.com,Shanghai Pharmaceutical Building No. 200 Taicang Road Shanghai 200020 China 86 21 6373 0908 http://www.sphchina.com,48136,Medical Distribution,,yahoo
31,31,CELH,"Celsius Holdings, Inc.",http://www.celsiusholdingsinc.com,"2424 North Federal Highway Suite 208 Boca Raton, FL 33431 United States 561 276 2239 http://www.celsiusholdingsinc.com",154,Beverages—Non-Alcoholic,,yahoo
32,32,CADE,Cadence Bancorporation,http://cadencebank.com,"One Mississippi Plaza 201 South Spring Street Tupelo, MS 38804 United States 662-680-2000 http://cadencebank.com",4770,Banks—Regional,,yahoo
33,33,CDUAF,Canadian Utilities Limited,http://www.canadianutilities.com,"West Building 4th Floor 5302 Forand Street SW Calgary, AB T3E 8B4 Canada 403 292 7500 http://www.canadianutilities.com",4473,Utilities—Diversified,,yahoo
34,34,ZWS,Zurn Water Solutions Corporation,http://www.zurnwatersolutions.com,"511 West Freshwater Way Milwaukee, WI 53204 United States 414 643 3739 http://www.zurnwatersolutions.com",6570,Utilities—Regulated Water,,yahoo
35,35,BSDGF,Bosideng International Holdings Limited,http://www.bosideng.com,The Center Unit 5709 57th Floor 99 Queenâs Road Central Central Hong Kong 852 2866 6918 http://www.bosideng.com,9458,Apparel Manufacturing,,yahoo
