name,marketcap,country,change (1 year),rank,change (1 day),categories,share price
apple,$2.863 t,usa,43.34%,#1,-0.30%,👩‍💻 tech👩‍💻 software🇺🇸 dow jones💻 tech hardware🔌 electronics,$174.56
microsoft,$2.500 t,usa,57.27%,#2,-0.56%,👩‍💻 software👩‍💻 tech🇺🇸 dow jones🎮 video games,$333.10
alphabet (google),$1.962 t,usa,66.03%,#3,-0.41%,🖥️ internet👩‍💻 tech👩‍💻 software,"$2,962"
saudi aramco,$1.851 t,saudi arabia,-2.52%,#4,-0.86%,⚡ energy🛢 oil&gas,$9.26
amazon,$1.766 t,usa,12.22%,#5,-1.13%,🛒 e-commerce🖥️ internet👩‍💻 tech🛍️ retail,"$3,483"
tesla,$1.008 t,usa,66.06%,#6,-6.10%,🚗 automakers👩‍💻 tech🔋 electric vehicles ₿ bitcoin 🏭 manufacturing,"$1,004"
meta (facebook),$926.11 b,usa,18.67%,#7,0.94%,👩‍💻 tech🖥️ internet,$332.92
nvidia,$776.85 b,usa,n/a,#8,2.24%,👩‍💻 tech📟 semiconductors🔌 electronics💻 tech hardware,$311.74
berkshire hathaway,$636.44 b,usa,25.82%,#9,0.23%,💰 investment,"$428,402"
tsmc,$619.73 b,taiwan,14.44%,#10,-1.89%,📟 semiconductors👩‍💻 tech 🏭 manufacturing💻 tech hardware,$119.50
tencent,$582.01 b,china,-20.22%,#11,-1.38%,👩‍💻 tech🖥️ internet🎮 video games🕹️ esports,$59.51
jpmorgan chase,$476.62 b,usa,32.56%,#12,0.51%,🏦 banks💳 financial services🇺🇸 dow jones,$161.28
visa,$461.89 b,usa,0.86%,#13,0.52%,💳 financial services🇺🇸 dow jones,$212.48
unitedhealth,$445.79 b,usa,37.43%,#14,0.95%,⚕️ healthcare🏦 insurance🇺🇸 dow jones,$473.32
samsung,$437.20 b,south korea,5.82%,#15,-1.66%,👩‍💻 tech🔌 electronics💻 tech hardware 🏭 manufacturing📟 semiconductors,$65.13
johnson & johnson,$436.23 b,usa,8.36%,#16,-0.12%,💊 pharmaceuticals🇺🇸 dow jones🧬 biotech,$165.71
home depot,$431.03 b,usa,54.88%,#17,0.35%,🛍️ retail🇺🇸 dow jones,$412.77
kweichow moutai,$412.34 b,china,13.40%,#18,0.17%,🍷 alcoholic beverages🥤 beverages,$328.25
lvmh,$406.42 b,france,35.07%,#19,-0.95%,⌚ luxury goods🇫🇷 cac 40👚 clothing,$161.41
walmart,$383.76 b,usa,-6.59%,#20,-0.11%,🛍️ retail🇺🇸 dow jones 🛒 supermarket chains,$138.35
nestlé,$371.77 b,switzerland,19.56%,#21,0.01%,🍴 food,$134.63
procter & gamble,$371.02 b,usa,12.40%,#22,0.58%,🇺🇸 dow jones🛍 consumer goods,$153.32
bank of america,$366.11 b,usa,54.48%,#23,0.55%,🏦 banks💳 financial services,$44.74
roche,$352.61 b,switzerland,16.53%,#24,-0.41%,💊 pharmaceuticals🧬 biotech,$50.47
alibaba,$341.93 b,china,-53.03%,#25,-0.36%,🛒 e-commerce👩‍💻 tech🖥️ internet🛍️ retail,$123.46
mastercard,$341.29 b,usa,2.28%,#26,0.82%,💳 financial services,$347.35
asml,$326.49 b,netherlands,70.60%,#27,0.77%,📟 semiconductors👩‍💻 tech💻 tech hardware,$778.56
adobe,$304.48 b,usa,30.77%,#28,1.17%,👩‍💻 software👩‍💻 tech,$639.95
pfizer,$288.38 b,usa,24.44%,#29,-1.34%,💊 pharmaceuticals🧬 biotech,$51.38
walt disney,$279.04 b,usa,-0.96%,#31,0.38%,entertainment🇺🇸 dow jones,$153.52
netflix,$273.06 b,usa,23.78%,#32,0.89%,entertainment🖥️ internet👩‍💻 tech,$616.46
exxon mobil,$269.53 b,usa,46.29%,#33,1.04%,🛢 oil&gas ⚡ energy,$63.26
nike,$267.46 b,usa,21.12%,#34,0.52%,🎾 sports goods👟 footwear🇺🇸 dow jones👚 clothing,$168.98
l'oréal,$265.60 b,france,38.77%,#35,0.62%,🛍 consumer goods🇫🇷 cac 40💄 cosmetics and beauty,$476.28
novo nordisk,$260.92 b,denmark,61.62%,#37,-0.09%,💊 pharmaceuticals🧬 biotech,$113.44
salesforce,$262.96 b,usa,19.83%,#36,1.00%,👩‍💻 software🇺🇸 dow jones👩‍💻 tech,$266.97
thermo fisher scientific,$252.36 b,usa,38.08%,#39,0.53%,🔬 scientific & technical instruments⚕️ diagnostics and testing🧬 biotech,$640.43
toyota,$250.48 b,japan,28.31%,#40,-0.94%,🚗 automakers 🏭 manufacturing,$180.77
icbc,$246.01 b,china,-9.79%,#41,0.23%,🏦 banks💳 financial services,$0.56
cisco,$244.47 b,usa,28.78%,#42,0.72%,👩‍💻 tech🔌 electronics📞 networking hardware🇺🇸 dow jones 📡 telecommunications equipment💻 tech hardware,$57.97
oracle,$283.45 b,usa,48.62%,#30,16.81%,👩‍💻 tech👩‍💻 software,$103.69
broadcom,$258.35 b,usa,40.17%,#38,7.58%,📟 semiconductors👩‍💻 tech,$627.67
coca-cola,$238.47 b,usa,2.87%,#43,0.64%,🥤 beverages🇺🇸 dow jones,$55.21
accenture,$236.51 b,ireland,50.52%,#45,0.81%,💼 professional services,$374.45
abbott laboratories,$234.35 b,usa,24.65%,#46,0.12%,medical devices,$132.53
catl,$234.27 b,china,161.04%,#47,0.97%,🔋 batteries🔋 electricity,$100.51
eli lilly,$232.35 b,usa,53.73%,#48,-0.58%,💊 pharmaceuticals🧬 biotech,$242.90
costco,$236.52 b,usa,40.09%,#44,2.10%,🛍️ retail 🛒 supermarket chains,$535.33
pepsico,$231.13 b,usa,14.15%,#49,0.52%,🥤 beverages,$167.17
danaher,$228.33 b,usa,43.28%,#51,0.08%,🏙 conglomerate,$319.54
chevron,$229.53 b,usa,30.63%,#50,0.79%,🛢 oil&gas🇺🇸 dow jones ⚡ energy,$119.07
paypal,$226.29 b,usa,-9.04%,#52,0.44%,💳 financial services👩‍💻 tech🖥️ internet ₿ bitcoin,$192.60
abbvie,$219.48 b,usa,14.24%,#54,1.87%,🧬 biotech💊 pharmaceuticals,$124.15
reliance industries,$219.36 b,india,21.19%,#55,0.10%,🏙 conglomerate,$32.42
comcast,$219.90 b,usa,-6.73%,#53,0.67%,📡 telecommunication📰 media/press,$48.13
verizon,$211.10 b,usa,-18.39%,#56,0.26%,📡 telecommunication🇺🇸 dow jones,$50.29
cm bank,$210.27 b,china,38.54%,#57,-0.45%,🏦 banks💳 financial services,$8.49
intel,$207.13 b,usa,0.82%,#59,0.89%,📟 semiconductors👩‍💻 tech🇺🇸 dow jones💻 tech hardware 🏭 manufacturing,$50.93
qualcomm,$207.47 b,usa,16.82%,#58,1.64%,👩‍💻 tech📟 semiconductors💻 tech hardware,$185.25
wells fargo,$200.63 b,usa,71.05%,#60,1.27%,🏦 banks💳 financial services,$50.32
mcdonald,$197.07 b,usa,25.71%,#61,0.53%,🍔 restaurant chains🇺🇸 dow jones🍴 food,$263.74
meituan,$194.20 b,china,-14.67%,#62,-1.90%,🖥️ internet👩‍💻 tech🛒 e-commerce,$31.05
hermès,$189.04 b,france,77.14%,#65,-3.38%,⌚ luxury goods🇫🇷 cac 40,"$1,780"
shopify,$190.15 b,canada,44.00%,#63,0.87%,🛒 e-commerce🖥️ internet👩‍💻 tech,"$1,508"
intuit,$190.14 b,usa,82.74%,#64,0.90%,👩‍💻 software👩‍💻 tech,$671.50
merck,$185.12 b,usa,-12.71%,#66,0.59%,💊 pharmaceuticals🇺🇸 dow jones🧬 biotech,$73.29
novartis,$181.40 b,switzerland,-12.19%,#67,-0.01%,💊 pharmaceuticals🧬 biotech,$80.43
morgan stanley,$180.48 b,usa,56.25%,#69,-0.66%,🏦 banks💳 financial services💰 investment,$100.58
united parcel service,$180.45 b,usa,22.08%,#70,0.53%,📦 courier transportation,$207.63
texas instruments,$181.25 b,usa,18.83%,#68,1.48%,📟 semiconductors👩‍💻 tech💻 tech hardware,$196.26
tata consultancy services,$177.37 b,india,28.14%,#71,0.97%,🖥️ it services💼 professional services,$47.95
nextera energy,$176.77 b,usa,22.04%,#72,0.21%,⚡ energy🔋 electricity🚰 utility companies,$90.10
lowe's companies,$174.40 b,usa,61.21%,#73,0.27%,🛍️ retail,$258.86
china construction bank,$173.20 b,china,-10.34%,#74,0.67%,🏦 banks💳 financial services,$13.53
astrazeneca,$167.71 b,uk,1.70%,#79,-1.51%,💊 pharmaceuticals🧬 biotech,$54.13
linde,$170.85 b,uk,32.24%,#75,0.37%,🇩🇪 dax🧪 chemicals,$333.34
shell,$169.87 b,netherlands,18.99%,#76,-1.58%,🛢 oil&gas ⚡ energy,$21.99
prosus,$168.89 b,netherlands,-20.63%,#78,-1.54%,💰 investment,$81.59
amd,$169.85 b,usa,53.73%,#77,1.85%,👩‍💻 tech📟 semiconductors🔌 electronics💻 tech hardware,$140.65
at&t,$164.31 b,usa,-27.08%,#80,0.31%,📡 telecommunication,$23.01
union pacific corporation,$158.95 b,usa,20.09%,#82,-0.14%,🚂 railways transportation🛣️ infrastructure,$247.25
sap,$160.74 b,germany,8.03%,#81,1.44%,👩‍💻 tech👩‍💻 software🇩🇪 dax,$134.77
agricultural bank of china,$158.40 b,china,-8.68%,#83,-0.23%,🏦 banks💳 financial services,$8.52
keyence,$154.48 b,japan,26.26%,#84,-1.45%,💻 tech hardware👩‍💻 tech,$637.00
charles schwab,$153.25 b,usa,59.56%,#85,0.50%,💳 financial services🏦 banks,$81.06
sony,$152.55 b,japan,n/a,#87,0.12%,🎮 video games🔌 electronics👩‍💻 tech entertainment💻 tech hardware,$123.00
medtronic,$152.97 b,ireland,-0.12%,#86,0.85%,medical devices,$113.77
wuliangye yibin,$150.57 b,china,-1.18%,#88,-1.59%,🥤 beverages🍷 alcoholic beverages,$38.79
