company_name;website;sector;country;revenue_euros;employees;founded
Deliveroo*;https://deliveroo.co.uk;Food & Beverage;United Kingdom;157M;1049;2013
Thermondo;https://thermondo.de;Energy;Germany;20M;300;2012
Traventia Viajes*;https://traventia.es;Travel & Leisure;Spain;10M;20;2013
Alainsa;https://alainsa.com;Construction;Spain;10M;20;1980
iTravex;https://itravex.es;Travel & Leisure;Spain;22M;37;2007
Carwow;https://carwow.com;Automobiles;United Kingdom;10M;104;2009
Formycon;https://formycon.de;Chemicals;Germany;19M;70;2012
Local Fuel;https://localfuel.co.uk;Energy;United Kingdom;73M;8;2012
Project X Paris;https://projectxparis.com;Fashion;France;8M;20;2013
Global Savings Group;https://global-savings-group.com;Advertising;Germany;19M;304;2012
Smarkets;https://smarkets.com;Fintech;United Kingdom;31M;78;2008
VLC Travel;https://resaneo.com;Support Services;France;40M;30;2009
Germanimals;https://germanimals.de;Agricultural commodities;Germany;23M;7;2011
SendinBlue;https://sendinblue.com;Technology;France;7M;60;2007
Cheevers Howard;https://cheevershoward.co.uk;Construction;United Kingdom;26M;61;2013
Marfeel Solutions;https://marfeel.com;Advertising;Spain;4M;52;2011
Petroprix Energía*;https://www.petroprix.com;Retail;Spain;72M;45;2013
HelloFresh;https://hellofresh.de;Ecommerce;Germany;596M;1969;2012
STRV;https://strv.com;Technology;Czech Republic;5M;150;2009
Bynder;https://bynder.com;Technology;The Netherlands;12M;248;2013
Blue Motor Finance;https://bluemotorfinance.co.uk;Financial Services;United Kingdom;20M;103;1992
Stratajet;https://stratajet.com;Travel & Leisure;United Kingdom;4M;60;2011
AerFin;https://aerfin.com;Aerospace & Defence;United Kingdom;74M;79;2010
TransferWise;https://transferwise.com;Financial Services;United Kingdom;79M;700;2010
Actility;https://actility.com;Telecoms;France;16M;100;2010
Benhauer;https://salesmanago.com;Technology;Poland;6M;259;2011
Eurocio Freetime;https://subastadeocio.es;Travel & Leisure;Spain;7M;28;2012
Metacrew Group;https://metacrew.de;Advertising;Germany;10M;54;2008
Shokes;https://shokes.de;Ecommerce;Germany;6M;6;2009
Tooploox;https://tooploox.com;Technology;Poland;3M;72;2012
ZEMA IT;https://zema-it.de;Technology;Germany;8M;12;2009
Framery;https://frameryacoustics.com;Interiors;Finland;17M;70;2010
Unidriver;https://unidriver.eu;Transport;Spain;4M;252;2012
Gestaweb 2020*;https://electrocosto.com;Ecommerce;Spain;11M;18;2013
SNTI Nutritional Suplements*;https://snti.es;Food & Beverage;Spain;2M;1;2013
ID Finance Investments;https://idfinance.com;Fintech;Spain;57M;220;2012
My Show Must Go On;https://encoreuntour.com;Travel & Leisure;France;2M;3;2009
Moonoff;https://moonoff.com;Industrial Goods;Spain;6M;16;2012
Yieldlove*;https://yieldlove.de;Advertising;Germany;6M;17;2013
everBe;https://everbe.com;Management Consulting;France;5M;45;2012
Avenir Renovations*;https://avenir-renovations.fr;Construction;France;2M;12;2013
Conserto*;https://conserto.pro;Technology;France;13M;261;2013
GoCardless;https://GoCardless.co.uk;Fintech;United Kingdom;7M;100;2011
Optal;https://optal.com;Financial Services;United Kingdom;158M;27;2005
DCMN;https://dcmn.com;Advertising;Germany;41M;88;2010
RTB House;https://rtbhouse.com;Technology;Poland;18M;184;2012
All Seafood Company;https://allseafoodcompany.com;Food & Beverage;France;3M;2;2006
Catawiki;https://catawiki.com;Technology;The Netherlands;35M;341;2008
CodiLime;https://codilime.com;Technology;Poland;8M;200;2011
Smadex;https://smadex.com;Sales & Marketing;Spain;4M;29;2010
CD PROJEKT;https://cdprojekt.com;Games industry;Poland;133M;214;1994
Engagement Factory*;https://engagementfactory.com;Sales & Marketing;The Netherlands;2M;18;2013
Codewise;https://codewise.com;Advertising;Poland;43M;92;2011
Eskimoz;https://eskimoz.fr;Support Services;France;3M;30;2012
SuperAwesome;https://superawesome.com;Technology;United Kingdom;8M;90;1999
The Retail Performance Company;https://rpc-partners.com;Management Consulting;Germany;33M;233;2012
UniEléctrica Energía**;https://unielectrica.com;Energy;Spain;86M;35;2012
Northlander Commodity Advisors;https://northlander-advisors.com;Financial Services;United Kingdom;11M;7;2011
GermanFLAVOURS;https://germanflavours.de;Chemicals;Germany;7M;105;2012
Cloud Technologies;https://cloudtechnologies.pl;Technology;Poland;11M;51;2011
VIRTUS HoldCo**;https://virtusdatacentres.com;Technology;United Kingdom;28M;33;2008
PARANET-Deutschland;https://paranet-deutschland.de;Construction;Germany;26M;33;2011
Kantox;https://kantox.com;Fintech;United Kingdom;4M;75;2011
allbranded;https://allbranded.de;Advertising;Germany;4M;15;2011
Coppola Foods;https://coppolafoodsgroup.com;Food & Beverage;United Kingdom;2M;2;2012
ENITAS Deutschland*;https://enitas.de;Support Services;Germany;2M;60;2013
Seistag Innovación*;http://seistag.com/;Management Consulting;Spain;3M;13;2013
BMS2*;https://bms2.de;Construction;Germany;3M;10;2013
CliQéo ;https://cliqeo.com;Support Services;France;4M;51;2012
Clearabee;https://clearabee.co.uk;Waste management & recycling;United Kingdom;7M;135;2012
Wealth Dynamics;https://wealth-dynamix.com;Fintech;United Kingdom;7M;32;2012
erdbär (Freche Freunde);https://frechefreunde.de;Food & Beverage;Germany;19M;44;2010
Sica SAS;https://n/a;Industrial Goods;France;9M;1;2011
Screwerk*;https://screwerk.com;Retail;Germany;2M;20;2013
Soltec;https://soltec.com;Energy;Spain;64M;646;2004
EWÂ Energy World*;https://ew-energy-world.de;Energy;Germany;14M;54;2013
Grabyo*;https://Grabyo.com;Technology;United Kingdom;1M;30;2013
Anthesis Consulting Group*;https://anthesisgroup.com;Management Consulting;United Kingdom;11M;200;2013
Black Swan Data;https://blackswan.com;Technology;United Kingdom;17M;215;2011
Robart GmbH;https://robart.cc;Technology;Austria;3M;45;2010
Nova Groupe;https://novagroupe.eu;Personal & Household Goods;France;1M;8;2012
PROCERAM;https://cerabran.com;Construction;Germany;2M;16;2011
Bolus Restaurants;https://bunsen.ie;Restaurants;Ireland;5M;63;2013
Happy Company;https://happycompany.fr;Media;France;2M;3;2012
Globe Locums;https://globelocums.co.uk;Support Services;United Kingdom;36M;33;2011
In Touch Networks;https://intouchnetworks.com;Ecommerce;United Kingdom;3M;100;2006
Lapelle;https://lapelleweb.it;Industrial Goods;Italy;10M;5;2006
Pickawood;https://pickawood.com;Ecommerce;Germany;3M;12;2012
Fourniresto.Com;https://fourniresto.com;Retail;France;3M;6;2012
Vizzuality;https://vizzuality.com;Technology;Spain;2M;29;2009
Localbitcoins*;https://localbitcoins.com;Fintech;Finland;7M;9;2013
Bademeisterei Kosmetikmanufaktur*;https://bademeisterei.com;Health;Austria;4M;53;2013
Theano Advisors;https://theanoadvisors.com;Management Consulting;France;22M;47;2012
Synaptikon;https://neuronation.de;Health;Germany;2M;32;2011
RadarServices Smart IT-Security;https://radarservices.com;Cyber Security;Austria;3M;41;2011
Rent2ndhometenerife;https://baobabsuites.com;Travel & Leisure;Spain;8M;108;2009
AHORN Wohnmobile;https://ahorn-wohnmobile.de;Automobiles;Germany;28M;36;1996
Scribbr;https://scribbr.com;Education;The Netherlands;1M;7;2012
Lebepur;https://lebepur.de;Food & Beverage;Germany;3M;2;2010
Cowana;https://cowana.de;Advertising;Germany;8M;10;2009
Neuwagen24.de;https://neuwagen24.de;Automobiles;Germany;4M;20;2007
A. C. Mischke;https://ac-mischke.de;Automobiles;Germany;40M;6;2011
Supercharge;https://supercharge.io;Technology;Hungary;2M;36;2010
Golden Gates Edelmetalle;https://goldengates.de;Retail;Germany;15M;13;2012
Warmcook;https://warmcook.com;Personal & Household Goods;France;6M;7;2010
Etablissements Wanecque;https://wanecque.com;Construction;France;2M;19;2012
Tikiting Distribuciones;https://tikiting.com;Transport;Spain;11M;36;2008
ALC grup;https://grupoalc.com;Architecture;Spain;3M;76;2010
Freepik;https://freepik.com;Technology;Spain;7M;47;2012
Storytel;https://storytel.co;Media;Sweden;78M;164;2005
ACCENTA Music & P.O.S.;https://accenta.info;Advertising;Germany;3M;13;2006
Groupe Quintesens;https://groupe-quintesens.fr;Financial Services;France;13M;9;2009
Animal Maker;https://animalmaker.es;Advertising;Spain;8M;24;2005
LoveCrafts;https://lovecrafts.com;Ecommerce;United Kingdom;21M;121;2010
Ziegler Group;https://ziegler.global;Transport;Germany;20M;98;2010
MTRAX*;https://multitrax.it;Sales & Marketing;Italy;10M;5;2013
Sociedad Deportiva Eibar;https://sdeibar.com;Travel & Leisure;Spain;42M;87;1940
FraudBuster;https://FraudBuster.mobi;Cyber Security;France;7M;32;2010
Visio Planhaus*;https://visioplanhaus.de;Construction;Germany;10M;15;2013
Exsel IT & Communications;https://exselgroup.com;Technology;United Kingdom;3M;39;2008
exercon sales;https://exercon.de;Energy;Germany;4M;15;2012
Attestation Légale;https://attestationlegale.fr;Support Services;France;3M;53;2010
Caffeina;https://caffeina.com;Advertising;Italy;3M;48;2010
City Shop West Kiosk;https://cityshopwest.de;Retail;Germany;1M;14;2012
Join Contract;https://joincontract.com;Support Services;Spain;8M;12;2008
Oregold;https://oregoldinvestimentioro.it;Precious metals;Italy;23M;2;2011
Kiece;https://kiece.fr;Support Services;France;2M;14;2006
Mint Tower;https://minttowercapital.com;Financial Services;The Netherlands;5M;15;2010
Sublime Skinz;https://sublimeskinz.com;Advertising;France;15M;70;2012
Kreditech Holding SSL;https://kreditech.com;Fintech;Germany;45M;295;2012
Afinna One;https://afinnaone.com;Telecoms;Italy;45M;5;2010
Attrecto;https://attrecto.com;Technology;Hungary;2M;47;2011
Superprof;https://superprof.fr;Education;France;1M;28;2011
Groupe Redman;https://redman.fr;Property;France;41M;40;2007
SFA Transports;https://n/a;Transport;France;2M;12;2012
hajoona;https://hajoona.com;Health;Germany;3M;13;2012
MEP Werke;https://mep-werke.de;Energy;Germany;17M;65;2011
LEYFA Measurement;https://leyfa-measurement.fr;Construction;France;2M;32;2011
DEVUS Autopartner;https://devus.de;Automobiles;Germany;36M;24;2011
SuS Deutschland;https://suselektro.de;Support Services;Germany;2M;55;1980
Cesam;https://cesamcorp.com;Beauty;France;5M;10;2010
Kernel Analytics*;https://kernel-analytics.com;Technology;Spain;3M;42;2013
Akademie für Sport und Gesundheit;https://akademie-sport-gesundheit.de;Health;Germany;2M;15;2010
Rimac Automobili;https://rimac-automobili.com;Automobiles;Croatia;5M;164;2009
Dexga Technologies;https://dexga.com;Technology;Spain;1M;8;2008
LION Smart;https://lionsmart.com;Automobiles;Germany;2M;18;2008
Lottoland*;https://lottoland.co.uk;Games industry;United Kingdom;251M;249;2012
iSpace Informatica;https://emazing.com.es;Technology;Spain;11M;8;2009
Etnia Dreams;https://etniacosmetics.com;Beauty;Spain;5M;200;2012
artos AG;https://artos.ag;Retail;Germany;4M;7;2010
Lemon Way;https://lemonway.com;Fintech;France;6M;56;2007
Net Reviews;https://avis-verifies.com;Support Services;France;2M;23;2012
Crosscall;https://crosscall.com;Technology;France;29M;76;2009
FiloBlu;https://filoblu.com;Ecommerce;Italy;13M;96;2009
TEMPUS Personal;https://tempus-sachsen.de;Support Services;Germany;6M;9;2012
Autodoc;https://autodoc.de;Automobiles;Germany;118M;320;2008
Eden Port*;https://eden-port.com;Personal & Household Goods;France;1M;3;2013
3V Cargo;https://3vcargo.de;Transport;Germany;6M;38;2012
FioulReduc;https://fioulreduc.com;Retail;France;13M;10;2011
Apotea;https://apotea.se;Pharmaceuticals;Sweden;102M;281;2012
MotorK Italia;https://motork.io;Sales & Marketing;Italy;10M;118;2010
Elle Moda;https://pianetaoutlet.it;Ecommerce;Italy;2M;5;2012
Silmares Inversiones;https://pisamonas.es;Fashion;Spain;5M;31;2012
Funiglobal;https://funidelia.info;Ecommerce;Spain;10M;45;2012
Chevalier Technologies;https://chevaliertechnologies.com;Automobiles;United Kingdom;7M;35;2008
Cloudcall Group;https://cloudcall.com;Technology;United Kingdom;5M;89;2012
WBP;https://dewarens.fr;Retail;France;3M;4;2010
Fonix;https://fonix.com;Fintech;United Kingdom;55M;19;2006
BlÃ¡scar;https://blascar.com;Construction;Spain;9M;80;1980
Travellanda;https://Travellanda.com;Travel & Leisure;United Kingdom;60M;40;2010
