"Name","Address","Industry","Type","Est. of Ownership","National ID","SIC Code"
"Toyota Motor Europe","Avenue du Bourget 60, Bruxelles, 1140, BRUXELLES-CAPITALE, BELGIUM","Wholesale Trade","Corporation","2005","BE0441571714 Ondernemingsnummer","Whol autos/motor vehicles (5012)"
"Pfizer Service Company","Hoge Wei 10, Zaventem (Brucargo), 1930, VLAAMS BRABANT, BELGIUM","Wholesale Trade","Corporation","2002","BE0478242365 Ondernemingsnummer","Whol drugs/sundries (5122)"
"Janssen Pharmaceutica","Turnhoutseweg 30, Beerse, 2340, ANTWERPEN, BELGIUM","Manufacturing","Corporation","2014","BE0403834160 Ondernemingsnummer","Mfg pharmaceutical preparations (2834)"
"Total Petrochemicals & Refining SA/NV","Rue de l'Industrie 52, Bruxelles, 1040, BRUXELLES-CAPITALE, BELGIUM","Manufacturing","Corporation","2016","BE0403079441 Ondernemingsnummer","Petroleum refiner (2911)"
"ExxonMobil Petroleum & Chemical","Polderdijkweg 3, Antwerpen, 2030, ANTWERPEN, BELGIUM","Manufacturing","Corporation","2017","BE0416375270 Ondernemingsnummer","Petroleum refiner (2911)"
"Electrabel","Boulevard Simon Bolivar 34, Bruxelles, 1000, BRUXELLES-CAPITALE, BELGIUM","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2008","BE0403170701 Ondernemingsnummer","Electric services (4911)"
"Eurelec Trading","Square de Meeûs 23, Bruxelles, 1000, BRUXELLES-CAPITALE, BELGIUM","Services","Cooperative","2017","BE0656908546 Ondernemingsnummer","Business association (8611)"
"Ageas","Rue du Marquis 1, Bruxelles, 1000, BRUXELLES-CAPITALE, BELGIUM","Wholesale Trade","Corporation","2008","BE0451406524 Ondernemingsnummer","Whol non durable goods (5199)"
"Etablissementen Franz Colruyt","Edingensesteenweg 196, Halle, 1500, VLAAMS BRABANT, BELGIUM","Retail Trade","Corporation","2016","BE0400378485 Ondernemingsnummer","Ret groceries (5411)"
"Glaxosmithkline Biologicals","Rue de l'Institut 89, Rixensart, 1330, BRABANT WALLON, BELGIUM","Manufacturing","Corporation","2014","BE0440872918 Ondernemingsnummer","Mfg pharmaceutical preparations (2834)"
"Ageas","Rue du Marquis 1, Bruxelles, 1000, BRUXELLES-CAPITALE, BELGIUM","Wholesale Trade","Corporation","2008","BE0451406524 Ondernemingsnummer","Whol non durable goods (5199)"
"RGF Staffing Interservices","Frankrijklei 101, Antwerpen, 2000, ANTWERPEN, BELGIUM","Finance, Insurance, and Real Estate","Corporation","2015","BE0412773897 Ondernemingsnummer","Holding company (6719)"
"HR Rail","Rue de France 85, Bruxelles, 1060, BRUXELLES-CAPITALE, BELGIUM","Services","Corporation","2013","BE0541691352 Ondernemingsnummer","Employment agency (7361)"
"Bpost","Place de la Monnaie, Muntcentrum - Centre Monnaie, Bruxelles, 1000, BRUXELLES-CAPITALE, BELGIUM","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1974","BE0214596464 Ondernemingsnummer","Local trucking operator (4212)"
"Randstad Belgium","Avenue Charles-Quint 586, Internal Postal Box 8, Access Building, Bruxelles, 1082, BRUXELLES-CAPITALE, BELGIUM","Services","Corporation","1965","BE0402725291 Ondernemingsnummer","Employment agency (7361)"
"Proximus","Boulevard du Roi Albert II 27, Bruxelles, 1030, BRUXELLES-CAPITALE, BELGIUM","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2011","BE0202239951 Ondernemingsnummer","Communication services (4899)"
"BESIX Group","Avenue des Communautés 100, Bruxelles, 1200, BRUXELLES-CAPITALE, BELGIUM","Manufacturing","Corporation","2013","BE0400459154 Ondernemingsnummer","Mfg gypsum products (3275)"
"Koramic Holding","Kapel ter Bede 84, Ter Bede Business Center, Kortrijk, 8500, WEST-VLAANDEREN, BELGIUM","Finance, Insurance, and Real Estate","Corporation","1997","BE0405371512 Ondernemingsnummer","Real estate agent/manager (6531)"
"Delhaize Le Lion/De Leeuw","Rue Osseghem 53, Bruxelles, 1080, BRUXELLES-CAPITALE, BELGIUM","Retail Trade","Partnership Of Unknown Type","2016","BE0402206045 Ondernemingsnummer","Ret groceries (5411)"
"U C B","Allée de la Recherche 60, Bruxelles, 1070, BRUXELLES-CAPITALE, BELGIUM","Services","Corporation","1925","BE0403053608 Ondernemingsnummer","Business services (7389)"
"PSA AUTOMOBILES SA","2 10, 2 BOULEVARD DE L EUROPE, POISSY, 78300, YVELINES, FRANCE","Manufacturing","Corporation","1954","54206547900926 SIRET","Mfg motor vehicle/car bodies (3711)"
"ELECTRICITE DE FRANCE","22 30, 22 AVENUE DE WAGRAM, PARIS, 75008, PARIS, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1955","55208131766522 SIRET","Electric services (4911)"
"AIRBUS","2 ROND POINT EMILE DEWOITINE, BLAGNAC, 31700, HAUTE GARONNE, FRANCE","Manufacturing","Corporation","1991","38347481400100 SIRET","Mfg aircraft (3721)"
"RENAULT SAS","013 015, 13 QUAI ALPHONSE LE GALLO, BOULOGNE BILLANCOURT, 92100, HAUTS DE SEINE, FRANCE","Manufacturing","Corporation","1967","78012998703591 SIRET","Mfg motor vehicle/car bodies (3711)"
"TOTALENERGIES MARKETING FRANCE","562 AVENUE DU PARC DE L ILE, NANTERRE, 92000, HAUTS DE SEINE, FRANCE","Wholesale Trade","Corporation","2011","53168044500024 SIRET","Whol petroleum products (5172)"
"ORANGE","111 QUAI DU PRESIDENT ROOSEVELT, ISSY LES MOULINEAUX, 92130, HAUTS DE SEINE, FRANCE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1991","38012986648625 SIRET","Telephone communications (4813)"
"CSF","ZONE INDUSTRIELLE, ROUTE DE PARIS, MONDEVILLE, 14120, CALVADOS, FRANCE","Wholesale Trade","Corporation","2001","44028375200010 SIRET","Whol non durable goods (5199)"
"CONTANGO TRADING SA","30 AVENUE PIERRE MENDES FRANCE, PARIS, 75013, PARIS, FRANCE","Finance, Insurance, and Real Estate","Corporation","2000","43421184300025 SIRET","Open-end management investment (6722)"
