"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"APPLE","1","274,510 Million USD","57,410 Million USD","2256.000 Billion USD","USA","Mobiles & Accessories, Electronics, Technology","147,000","S&P 500, Nasdaq 100, Dow Jones Index (DJIA)","Tim Cook","Nasdaq","https://www.apple.com/"
"MICROSOFT CORPORATION","2","143,000 Million USD","44,300 Million USD","1682.000 Billion USD","USA","Software and IT, Laptops, Technology","156,439","S&P 500, Nasdaq 100, Dow Jones Index (DJIA)","Satya Nadella","Nasdaq","https://www.apple.com/"
"ALPHABET","3","182,520 Million USD","40,260 Million USD","1185.000 Billion USD","USA","Internet or Mobile App Based Business, Software and IT, Technology","135,301","Nasdaq 100, S&P 500","Sundar Pichai","Nasdaq","https://www.apple.com/"
"SAUDI ARABIAN OIL COMPANY (Saudi Aramco)","4","232,740 Million USD","49,320 Million USD","2051.500 Billion USD","Saudi Arabia","Oil and Gas, Chemicals, Energy","66,800","","Amin H. Al-Nasser","Tadawul","https://www.apple.com/"
"AMAZON.COM","5","386,060 Million USD","21,330 Million USD","1634.000 Billion USD","USA","Internet or Mobile App Based Business, Cloud Services, eCommerce","1,335,000","Nasdaq 100, S&P 500","Andy Jassy","Nasdaq","https://www.apple.com/"
"FACEBOOK","6","85,960 Million USD","29,150 Million USD","778.040 Billion USD","USA","Internet or Mobile App Based Business, Social Media, Communication Services","58,604","Nasdaq 100, S&P 500","Mark Zuckerberg","Nasdaq","https://www.apple.com/"
"TESLA","7","31,530 Million USD","-690 Million USD","668.900 Billion USD","USA","Cars, Automobile, Electric Vehicles","70,757","S&P 500, Nasdaq 100","Elon Musk","Bovespa Brazil, Nasdaq","https://www.apple.com/"
"BERKSHIRE HATHAWAY","8","286,260 Million USD","42,521 Million USD","543.680 Billion USD","USA","Investments, Insurance, Financial Services","391,500","S&P 500","Warren Buffett","NYSE","https://www.apple.com/"
"TAIWAN SEMICONDUCTOR MANUFACTURING COMPANY","9","48,211 Million USD","18,670 Million USD","488.130 Billion USD","Taiwan","Semiconductors, Electronics, Technology","51,297","Taiwan ADRs","C. C. Wei","NYSE, Taiwan","https://www.apple.com/"
"TENCENT","10","56,592 Million USD","14,430 Million USD","697.260 Billion USD","China","Investments, Internet or Mobile App Based Business, Communication Services","85,858","","Ma Huateng","HKeX","https://www.apple.com/"
"NVIDIA CORPORATION","11","10,910 Million USD","2,790 Million USD","323.240 Billion USD","USA","Semiconductors, Electronics, Technology","18,100","Nasdaq 100, S&P 500","Jensen Huang","Nasdaq","http://www.nvidia.com/"
"VISA","12","21,840 Million USD","10,860 Million USD","482.170 Billion USD","USA","Technology, Software and IT, Financial Services","20,500","S&P 500, Dow Jones Index (DJIA)","Alfred F Kelly Jr","NYSE","http://www.nvidia.com/"
"J P MORGAN CHASE & CO","13","122,900 Million USD","29,100 Million USD","387.330 Billion USD","USA","Banking Services, Credit Cards, Financial Services","256,981","S&P 500, Dow Jones Index (DJIA)","Jamie Dimon","NYSE","http://www.nvidia.com/"
"JOHNSON & JOHNSON","14","82,580 Million USD","14,710 Million USD","414.310 Billion USD","USA","Medical Equipment, Pharmaceutical, Healthcare","132,200","S&P 500, Dow Jones Index (DJIA)","Alex Gorsky","NYSE","http://www.nvidia.com/"
"ALIBABA GROUP HOLDING","15","110,920 Million USD","23,243 Million USD","648.320 Billion USD","China","Internet or Mobile App Based Business, Technology, eCommerce","117,600","China ADRs","Daniel Zhang","NYSE","http://www.nvidia.com/"
"SAMSUNG ELECTRONICS","16","208,390 Million USD","19,420 Million USD","501.160 Billion USD","South Korea","Electronics, Semiconductors, Technology","287,439","South Korea ADRs","Koh Dong-Jin, Kim Ki Nam, Kim Hyun Suk","Frankfurt, South Korea","http://www.nvidia.com/"
"WALMART","17","523,960 Million USD","14,880 Million USD","407.840 Billion USD","USA","Super Markets, eCommerce, Retail","2,200,000","S&P 500, Dow Jones Index (DJIA)","Doug McMillon","NYSE","http://www.nvidia.com/"
"UNITEDHEALTH GROUP","18","255,630 Million USD","15,400 Million USD","332.730 Billion USD","USA","Healthcare Service, Insurance, Healthcare","320,000","S&P 500, Dow Jones Index (DJIA)","David S. Wichmann","NYSE","http://www.nvidia.com/"
"LVMH","19","52,663 Million USD","5,508 Million USD","313.500 Billion USD","France","Non-Alcoholic Beverages, Clothing, Fashion and Luxury Goods","163,000","EURONEXT 100, S&P EUROPE 350, CAC 40","Bernard Arnault","Frankfurt, Frankfurt, EURONEXT","http://www.nvidia.com/"
"BANK OF AMERICA CORPORATION","20","85,530 Million USD","16,470 Million USD","262.200 Billion USD","USA","Banking Services, Investment Banking, Financial Services","208,000","S&P 500","Brian Moynihan","NYSE","http://www.nvidia.com/"
"ROCHE HOLDING AG","21","63,569 Million USD","15,473 Million USD","295.780 Billion USD","Switzerland","Pharmaceutical, Medical Equipment, Healthcare","101,200","S&P EUROPE 350","Severin Schwan","Switzerland","https://www.roche.com/"
