active_group_links,active_group_names,distributor_links,distributor_names,former_group_links,former_group_names,founded,founders,hangul,industry,key_people,key_people_links,link,locations,name,other_names,parternship_links,parternship_names,socials,soloist_links,soloist_names,subsidiary_links,subsidiary_names,type,websites
,,,Dreamus,,,2021,,,Music,,,https://kpop.fandom.com/wiki/131_Label,"Seoul, South Korea",131 Label,,,,"https://www.facebook.com/131labelofficial,https://www.instagram.com/official131label/,https://soundcloud.com/user-337673291,https://twitter.com/131_label_,https://www.youtube.com/channel/UC-_-SGJ5Zkq-MtppuOJoNvw",https://kpop.fandom.com//wiki/B.I,B.I,,,Subsidiary,
,,,Genie Music,,,February 2019,,에이엔터테인먼트,,,,https://kpop.fandom.com/wiki/A_Entertainment,"Seoul, South Korea",A Entertainment,,,,"https://www.instagram.com/official.aent/,https://twitter.com/Aplusent2021,https://www.youtube.com/channel/AEntertainmentOfficial",,,,,Unlisted,
,,,,,,"November 2, 2018",,에잇디엔터테인먼트,,,,https://kpop.fandom.com/wiki/8D_Entertainment,"Seoul, South Korea",8D Entertainment,,,,https://www.instagram.com/8dent.official/,"https://kpop.fandom.com//wiki/Kang_Ye_Seul,https://kpop.fandom.com//wiki/Kang_Hye_Won","Kang Ye Seul,Kang Hye Won",,,Private,
https://kpop.fandom.com//wiki/REDSQUARE,REDSQUARE,,MUSIC&NEW,,,March 2020,,,,,,https://kpop.fandom.com/wiki/About_Entertainment,"Seoul, South Korea",About Entertainment,,,,"https://www.facebook.com/aboutent.offical,https://www.instagram.com/aboutent.offical/,https://twitter.com/about_ent,https://www.youtube.com/channel/UCDw3HCcT01B8A037zTQoo9g",https://kpop.fandom.com//wiki/Lina_(REDSQUARE),BLENN,,,Private,
,,,,,,"February 1, 2010",,,,,,https://kpop.fandom.com/wiki/2ABLE_Company,"Seoul, South Korea",2ABLE Company,,,,"https://www.facebook.com/2ablecompany,https://www.instagram.com/2ABLEcompany_official/,https://twitter.com/2ABLE_MAN,https://www.youtube.com/user/2ABLECOMPANY",,,,,Unlisted,
https://kpop.fandom.com//wiki/MAP6,MAP6,,,,,2017,Lee Jong Seok,,,,,https://kpop.fandom.com/wiki/All-S_Company,"Seoul, South Korea",All-S Company,,,,"https://www.facebook.com/ALLS.COM.OFFICIAL,https://www.instagram.com/allscom_official/,https://twitter.com/alls_company,https://www.youtube.com/channel/UCjFn5_50M4MuQ2bW7O3tjEQ",,,,,Private,
https://kpop.fandom.com//wiki/WOW_(group),WOW,,,,,August 2017,,,,,,https://kpop.fandom.com/wiki/A.CONIC,"Seoul, South Korea",A.CONIC,,,,https://www.instagram.com/a_conic_official/,,,,,Private,
,Urban Zakapa,,Kakao Entertainment,,,"January 17, 2019",,어비스컴퍼니,,,,https://kpop.fandom.com/wiki/ABYSS_Company,"Seoul, South Korea",ABYSS Company,,,,"https://www.facebook.com/ABYSSCOMPANY,https://www.instagram.com/official_abysscompany/,https://twitter.com/ABYSS_COMPANY,https://www.youtube.com/channel/UCihqDiBUjaLOK2cPd_qg9EQ",,,,,Private,
"https://kpop.fandom.com//wiki/VAV,https://kpop.fandom.com//wiki/BugAboo","VAV,bugAboo",,,,,2015,,,,,,https://kpop.fandom.com/wiki/A_team_Entertainment,"Seoul, South Korea",A team Entertainment,AQ Entertainment,,,,https://kpop.fandom.com//wiki/Xiao_(singer),Xiao,,,Private,
,,,,,,2014,Kim Hae-kwon,,,,,https://kpop.fandom.com/wiki/Addiction_Entertainment,"Seoul, South Korea",Addiction Entertainment,,,,"https://www.facebook.com/addictioncrew,https://www.instagram.com/a.d_ent_official/",,,,,Private,
