CEO,active_artist_links,active_artist_names,active_artist_partnership_periods,active_group_links,active_group_names,active_group_partnership_periods,active_groups,artists_count,employees,former_artist_links,former_artist_names,former_artist_partnership_periods,former_group_links,former_group_names,former_group_partnership_periods,former_groups,founded,founders,groups_count,hometown,introduction,link,name,native_names,parent_company,parent_company_link,revenue,socials,subsidiary_links,subsidiary_names
,https://kpopping.com/profiles/idol/E-SO,E.SO,2021 - Present,,,,,1,,,,,,,,,2018,,0,Seoul,A.I.M is a South Korean entertainment company founded in 2018. It is a subsidiary of Enterarts.,https://kpopping.com/company/A-I-M,A.I.M,,Enterarts,https://kpopping.com/company/Enterarts,,"https://www.facebook.com/aimbyenterarts,https://twitter.com/aimbyenterarts,https://www.instagram.com/aim.enterarts,https://www.youtube.com/channel/UC3AbtoNhZr4o6P5aZ9CW1Gw,https://www.enterarts.net/",,
,"https://kpopping.com/profiles/idol/Jeon-Sejin,https://kpopping.com/profiles/idol/Kwon-Taeeun,https://kpopping.com/profiles/idol/Joo-Wondae,https://kpopping.com/profiles/idol/Bawool,https://kpopping.com/profiles/idol/Hoseong,https://kpopping.com/profiles/idol/Choi-Yonghun,https://kpopping.com/profiles/idol/Yoon-Daro,https://kpopping.com/profiles/idol/Lee-Jung-Hyun,https://kpopping.com/profiles/idol/Yooseong","Jeon Sejin,Kwon Taeeun,Joo Wondae,Bawool,Hoseong,Choi Yonghun,Yoon Daro,Lee Jung Hyun,Yooseong","2018 - Present,2019 - Present,2019 - Present,2019 - Present,2019 - Present,2020 - Present,2020 - Present,2020 - Present,2020 - Present",https://kpopping.com/profiles/group/WOW,WOW,2020 - Present,,9,,,,,https://kpopping.com/profiles/group/A-FACT,A:FACT,2019 - 2020,,2017,,1,,A.CONIC Entertainment (에이코닉 엔터테인먼트) is a South Korean entertainment company.,https://kpopping.com/company/A-CONIC-Entertainment,A.CONIC Entertainment,에이코닉 엔터테인먼트,,,,"https://www.instagram.com/a_conic_official/,https://aconic.co.kr/",,
,https://kpopping.com/profiles/idol/Woojin3,Woojin,2020 - Present,,,,,1,,,,,,,,,2020,,0,Seoul,10x Entertainment (10x 엔터테인먼트) is a South Korean entertainment company based in Seoul.,https://kpopping.com/company/10x-Entertainment,10x Entertainment,10x 엔터테인먼트,,,,"https://www.facebook.com/10x.ent/?ref=page_internal,https://twitter.com/10x_ent,https://www.instagram.com/10x.ent,https://www.youtube.com/channel/UCqh9GUZ-qpTvhxK0SpRItxQ,https://www.tiktok.com/@10x.so?lang=ko-KR,https://10x.so/",,
,"https://kpopping.com/profiles/idol/Claeun,https://kpopping.com/profiles/idol/Su-Yeon,https://kpopping.com/profiles/idol/Yubin3","Claeun,Su Yeon,Yubin","2019 - Present,2020 - Present,2020 - Present",,,,,3,,"https://kpopping.com/profiles/idol/Eungyul,https://kpopping.com/profiles/idol/Zelo","Eungyul,Zelo","2020 - 2020,2020 - 2020",,,,,2019,,0,Seoul,A Entertainment (A엔터테인먼트) is a South Korean record label and entertainment agency.,https://kpopping.com/company/A-Entertainment,A Entertainment,A엔터테인먼트,,,,"https://twitter.com/Official_AENT,https://www.instagram.com/accounts/a_ent__official,https://www.youtube.com/c/AEntertainmentOfficial/videos,http://a-ent.co.kr/",,
,,,,,,,,0,,https://kpopping.com/profiles/idol/Noeul,Noeul,2017 - 2019,,,,,2017,,0,Seoul,A'Pik Entertainment (에이픽 엔터테인먼트) is a South Korean entertainment agency.,https://kpopping.com/company/A-Pik-Entertainment,A'Pik Entertainment,"에이픽 엔터테인먼트,A'Pikエンターテインメント",,,,"https://www.facebook.com/apikent/,https://www.instagram.com/a_pik_entertainment/",,
,"https://kpopping.com/profiles/idol/Zin,https://kpopping.com/profiles/idol/Choyeon,https://kpopping.com/profiles/idol/Cyan,https://kpopping.com/profiles/idol/Eunchae2,https://kpopping.com/profiles/idol/Yoona4,https://kpopping.com/profiles/idol/Rainie","Zin,Choyeon,Cyan,Eunchae,Yoona,Rainie","2016 - Present,2018 - Present,2019 - Present,2019 - Present,2019 - Present,2019 - Present","https://kpopping.com/profiles/group/VAV,https://kpopping.com/profiles/group/bugAboo","VAV,bugAboo","2015 - Present,2019 - Present",,6,,"https://kpopping.com/profiles/idol/Shin-Sia,https://kpopping.com/profiles/idol/Choi-Yunju,https://kpopping.com/profiles/idol/Sheon","Shin Sia,Choi Yunju,Sheon","2018 - 2020,2019 - 2021,2019 - 2020",,,,,2015,,2,Seoul,"A team Entertainment (A team 엔터테인먼트; better known simply as A team) is a South Korean record label. It was founded in 2015 as AQ Entertainment before changing to its current name on January 19, 2017 following a rebranding and the recruitment of producer Ryan S. Jhun.",https://kpopping.com/company/A-team-Entertainment,A team Entertainment,A team 엔터테인먼트,,,,"https://www.facebook.com/ateament.kr/,https://twitter.com/AteamTrainee,https://www.instagram.com/ateament.kr/,https://www.youtube.com/channel/UCAogbKfNxlAKxzBXFHB8i5g,http://ateament.co.kr/",,
,"https://kpopping.com/profiles/idol/E-DA,https://kpopping.com/profiles/idol/Daru","E.DA,Daru","2018 - Present,2019 - Present",https://kpopping.com/profiles/group/E-RUDA,E.RUDA,2019 - Present,,2,,,,,,,,,2018,,1,Seoul,A Flat Entertainment (플랫 엔터테인먼트) is a South Korean entertainment company.,https://kpopping.com/company/A-Flat-Entertainment,A Flat Entertainment,"플랫 엔터테인먼트,フラットエンターテインメント",,,,"https://www.facebook.com/aflat.label.3,https://www.instagram.com/aflat.label,https://www.aflat.co.kr/",,
Lee Jong Suk,https://kpopping.com/profiles/idol/Nara,Nara,2019 - Present,,,,,1,,,,,,,,,2018,Lee Jong Suk,0,Seoul,"A-Man Project (에이맨 프로젝트) is a South Korean entertainment agency founded in April 2018 by actor Lee Jong Suk and initially partnered with his former agency, YNK Entertainment, before A-MAN Project went full solo.",https://kpopping.com/company/A-Man-Project,A-Man Project,"에이맨 프로젝트,A-Manプロジェクト",,,,,,
,,,,,,,,0,,"https://kpopping.com/profiles/idol/Hyewon,https://kpopping.com/profiles/idol/Go-Yujin,https://kpopping.com/profiles/idol/Yeseul2,https://kpopping.com/profiles/idol/Hyeseung","Hyewon,Go Yujin,Yeseul,Hyeseung","2018 - 2020,2019 - 2020,2019 - 2020,2020 - 2020",,,,,2017,,0,Seoul,"8D Creative (에잇디크리에이티브) is a South Korean company. They are described as a ""multi-cultural platform"", pursuing in various businesses including entertainment, F&B, fashion & culture, e-Commerce, and e-Sports. On November 12, 2020, it was announced that 8D Creative would be integrated into their sub-label, 8D Entertainment (formerly known as RSVP Entertainment).",https://kpopping.com/company/8D-Creative,8D Creative,에잇디크리에이티브,,,,"https://www.facebook.com/8dcreativegroup/,https://www.instagram.com/8dcreative/,https://www.youtube.com/channel/UCuCSWG_Et-JPxt-dycBUROw,http://8dcreative.com/",,
Shibata Kumiko,,,,,,,,0,,https://kpopping.com/profiles/idol/Sohyun,Sohyun,2016 - 2018,,,,,2014,,0,Seoul,"935 Entertainment (935 엔터테인먼트) is an acting management company that also functions as an entertainment company that has been participating in content creations, productions and also in the investments of projects from Asian countries such as China and Japan as well as in Hollywood.",https://kpopping.com/company/935-Entertainment,935 Entertainment,"935 엔터테인먼트,935エンターテインメント",,,,"https://www.instagram.com/935entertainment,http://935ent.com/",,
,"https://kpopping.com/profiles/idol/Kiwon,https://kpopping.com/profiles/idol/Yehyeon,https://kpopping.com/profiles/idol/Taedong","Kiwon,Yehyeon,Taedong","2017 - Present,2019 - Present,2019 - Present",https://kpopping.com/profiles/group/GIDONGDAE,GIDONGDAE,2020 - Present,,3,,,,,,,,,2017,,1,,2Y Entertainment (2Y 엔터테인먼트) is a record label in South Korea.,https://kpopping.com/company/2Y-Entertainment,2Y Entertainment,"2Y 엔터테인먼트,2Yエンターテインメント",,,,"https://twitter.com/entertainment2y,https://www.instagram.com/2yent/,https://www.2yent.com/",,
Park Ji Won,"https://kpopping.com/profiles/idol/Hyewon,https://kpopping.com/profiles/idol/Yeseul2","Hyewon,Yeseul","2019 - Present,2019 - Present",https://kpopping.com/profiles/group/OnlyOneOf,OnlyOneOf,2019 - Present,,2,,,,,,,,,2019,,1,Seoul,"8D Entertainment (에잇디엔터테인먼트) is a South Korean entertainment company. It was originally founded in 2019 as RSVP Entertainment after 8D Creative established two separate labels within the company: WIP for their actors and RSVP for their idols. On November 12, 2020, it was announced that RSVP would be renamed as 8D Entertainment and 8D Creative would be integrated into the company.",https://kpopping.com/company/8D-Entertainment,8D Entertainment,에잇디엔터테인먼트,,,,http://8-d.co.kr/,,
,https://kpopping.com/profiles/idol/meenoi,meenoi,2020 - Present,,,,,1,,https://kpopping.com/profiles/idol/DeVita,DeVita,2016 - 2020,,,,,2015,Kirin,0,Seoul,8BallTown (에잇볼타운) is a South Korean record label founded by Kirin in 2015.,https://kpopping.com/company/8BallTown,8BallTown,에잇볼타운,,,,"https://www.facebook.com/8balltown,https://www.instagram.com/8balltown/,http://yo8balltown.cafe24.com/",,
,,,,,,,,0,,,,,,,,,2010,,0,"Gangnam-gu, Seoul",2%Entertainment (2% 엔터테인먼트) is a South Korean entertainment agency.,https://kpopping.com/company/2-Entertainment,2%Entertainment,2% 엔터테인먼트,,,,"https://www.facebook.com/2proent,https://twitter.com/2proent,https://www.instagram.com/2proent,https://www.youtube.com/c/2proent/featured,https://www.2proent.com/",,
,,,,,,,,0,,"https://kpopping.com/profiles/idol/Sihyun3,https://kpopping.com/profiles/idol/You-Dayeon","Sihyun,You Dayeon","2016 - 2016,2019 - 2021",,,,,2014,"Timon Youn, Lia Kim",0,,1Million Dance Studio is a dance studio and choreography company in South Korea.,https://kpopping.com/company/1Million-Dance-Studio,1Million Dance Studio,,,,,"https://www.facebook.com/1MILLIONDanceStudio/,https://www.instagram.com/1milliondance/,https://www.youtube.com/channel/UCw8ZhLPdQ0u_Y-TLKd61hGA,https://www.1milliondance.com/",,
,"https://kpopping.com/profiles/idol/Dongwon,https://kpopping.com/profiles/idol/Inseong2,https://kpopping.com/profiles/idol/Jihun,https://kpopping.com/profiles/idol/Heejun,https://kpopping.com/profiles/idol/Youjin,https://kpopping.com/profiles/idol/CheongMyeong,https://kpopping.com/profiles/idol/YunGGI","Dongwon,Inseong,Jihun,Heejun,Youjin,CheongMyeong,YunGGI","2018 - Present,2018 - Present,2018 - Present,2018 - Present,2018 - Present,2021 - Present,2021 - Present",https://kpopping.com/profiles/group/KNK,KNK,2018 - Present,,7,,https://kpopping.com/profiles/idol/Seoham,Seoham,2018 - 2021,,,,,2018,,1,Seoul,220 Entertainment (220엔터테인먼트) is a South Korean record label and entertainment agency.,https://kpopping.com/company/220-Entertainment,220 Entertainment,220엔터테인먼트,,,,"https://twitter.com/220ent_official,https://www.instagram.com/220ent_official/,https://www.youtube.com/channel/UC3WQF0ncn-vibMy8I1GejWQ",,
Park Jun Sang,"https://kpopping.com/profiles/idol/Yeseo,https://kpopping.com/profiles/idol/Sakamoto-Mashiro","Yeseo,Sakamoto Mashiro","2021 - Present,2021 - Present",,,,,2,,,,,,,,,2020,Park Jun Sang,0,Seoul,"143 Entertainment (143엔터테인먼트) is a South Korean record label and entertainment agency established on June 9, 2020 by Park Jun Sang.",https://kpopping.com/company/143-Entertainment,143 Entertainment,"143 엔터테인먼트,143エンターテインメント",,,,"https://twitter.com/GTMNY143,https://www.instagram.com/143.ent/?utm_medium=copy_link",,
,"https://kpopping.com/profiles/idol/Hyoin3,https://kpopping.com/profiles/idol/Seonah,https://kpopping.com/profiles/idol/Hyuna4","Hyoin,Seonah,Hyuna","2021 - Present,2021 - Present,2021 - Present",https://kpopping.com/profiles/group/BLE,BLE,2021 - Present,,3,,,,,,,,,2017,,1,Seoul,"4D Lable is a South Korean entertainment agency, subsidiary of ON1 Entertainment.",https://kpopping.com/company/4D-Lable,4D Lable,"4D Lable,4Dラベル",ON1 Enertainment,https://kpopping.com/company/ON1-Enertainment,,"https://www.facebook.com/kidsindancekorea,https://www.instagram.com/4d_lable,https://www.youtube.com/channel/UCPBeCK59vrLJ47Gihm8N3cw,http://kidsindance.co.kr/38",https://kpopping.com/company/Kids-Planet,Kids Planet
