company_name;website;sector;country;revenue_euros
4EVER, SRO;www.4ever.cz;Manufacturing;Czech Republic;40M to 50M
77 Elektornika Kft;www.en.e77.hu;Manufacturing;Hungary;75M to 100M
7N A/S;www.7n.com;IT Technology;Denmark;75M to 100M
A. Mintikkis Farm;www.mintikkis.com;Wholesale;Cyprus;30M to 40M
Aarstiderne A/S;www.aarstiderne.com;Consumer Services;Denmark;75M to 100M
AB Åbro Bryggeri;www.abro.se;Food & Drink;Sweden;100M to 150M
Ableton;www.ableton.com;Technology;Germany;30M to 40M
Absolute;www.absoluteyachts.com;Manufacturing & Engineering;Italy;40M to 50M
Aceites Abril S.L.;www.aceitesabril.com;Food & Drink;Spain;150M to 250M
Aceitunas Cazorla;www.aceitunascazorla.com;Food & Drink;Spain;100M to 150M
Acmi;www.acmispa.it;Manufacturing & Engineering;Italy;75M to 100M
Acne Studios AB;www.acnestudios.com;Manufacturing;Sweden;100M to 150M
Acone Associati;www.aconeassociati.it;Marketing;Italy;40M to 50M
Acorus ;www.groupe-acorus.fr;Construction/Property;France;100M to 150M
ACT;www.act.de;Wholesale;Germany;100M to 150M
Actemsa ;www.actemsa.com;Food & Drink;Spain;100M to 150M
Adam Hall;www.adamhall.com;Technology;Germany;75M to 100M
Adamed SP Z.O.O ;www.adamed.com.pl;Pharmaceutical/Science;Poland;100M to 150M
ADLER Czech, a.s.;www.adler.info;Textiles;Czech Republic;20M to 30M
Aerogen;www.aerogen.com;Pharmaceutical/Science;Ireland;40M to 50M
AGRIFREDA SA;www.agrifreda.gr;Food & Drink;Greece;20M to 30M
Agro Fruit;www.agrofruitsrl.it;Agriculture/Farming/Forestry;Italy;20M to 30M
Agro Sourcing;www.agrosourcing.com;Wholesale;France;20M to 30M
AgroBiothers;www.agrobiothers.com;Retail;France;50M to 75M
AGROVIM;www.agrovim.gr;Food & Drink;Greece;40M to 50M
Agru;www.agru.at;Manufacturing;Austria;150M to 250M
Aguettant Sante;www.aguettant.fr;Pharmaceutical/Science;France;100M to 150M
Åhlin & Ekeroth Byggnads AB;www.ahlin-ekeroth.se;Construction/Property;Sweden;20M to 30M
AISCI Ident;www.aisci.de;Electronics;Germany;20M to 30M
Akrapovic d.d.;www.akrapovic.com;Manufacturing;Slovenia;75M to 100M
Albrecht Bäumer;www.baeumer.com;Manufacturing & Engineering;Germany;50M to 75M
Aldinger;www.aldinger-gmbh.de;Manufacturing;Germany;40M to 50M
Alegri;www.alegri.eu;IT Technology;Germany;30M to 40M
AlfaPeople;www.alfapeople.com;IT Technology;Denmark;30M to 40M
Alland et Robert ;www.allandetrobert.com;Manufacturing;France;40M to 50M
Alteca;www.alteca.fr;IT Technology;France;30M to 40M
Altilis Nutrition Animale ;www.altilis.fr;Manufacturing;France;20M to 30M
Aludec;www.aludec.com;Manufacturing & Engineering;Spain;75M to 100M
Amels;www.amels-holland.com;Manufacturing & Engineering;Netherlands;150M to 250M
AmériGo;www.amerigo.fr;Travel/Leisure;France;20M to 30M
Amitec Oy;www.amitec.fi;Technology;Finland;20M to 30M
Amplus SP Z.O.O.;www.amplusfoods.com;Wholesale;Poland;100M to 150M
AMS Metal;www.amsmetal.pl;Manufacturing;Poland;50M to 75M
ANDA Present Group;www.andapresent.hu;Retail;Hungary;20M to 30M
Andelslaget Närpes Grönsaker;www.narpesgronsaker.fi;Agriculture/Farming/Forestry;Finland;40M to 50M
Angus Soft Fruits Ltd;www.angussoftfruits.co.uk;Food & Drink;United Kingdom;100M to 150M
Annabella;www.annabella.ro;Retail;Romania;10M to 20M
ANS Group;www.ans.co.uk;Technology;United Kingdom;50M to 75M
Ansion Sementtivalimo Oy;www.asv.fi;Construction/Property;Finland;10M to 20M
Antonio Ruggiero S.p.A;www.antonioruggiero.com;Agriculture/Farming/Forestry;Italy;40M to 50M
Appalette Tourtellier Systemes ;www.ats-group.com;Manufacturing;France;20M to 30M
Apra-Gruppe;www.apra.de;Electronics;Germany;40M to 50M
Aprojects;www.aprojects.be;Transportation;Belgium;20M to 30M
Aramis Group;www.aramisgroup.ro;Consumer Services;Romania;150M to 250M
Architectural Aluminium;www.arc-al.com;Construction/Property;Ireland;40M to 50M
Arclite;www.arclite.de;Wholesale;Germany;30M to 40M
Argenta cerámica S.L.;www.argentaceramica.com;Manufacturing;Spain;150M to 250M
Arimex Bratislava spol. s ro;www.arimex.sk;Agriculture/Farming/Forestry;Slovakia;50M to 75M
Armitage Pet Care;www.armitages.co.uk;Manufacturing;United Kingdom;40M to 50M
Aromatech ;www.aromatech.fr;Manufacturing;France;20M to 30M
Aroma-Zone ;www.aroma-zone.com;Consumer Services;France;40M to 50M
Assmann Büromöbel;www.assmann.de;Manufacturing;Germany;100M to 150M
Astier Demarest SA;www.astierdemarest.com;Chemicals;France;20M to 30M
ATUNSA;www.atunsa.com;Agriculture/Farming/Forestry;Spain;75M to 100M
August Friedberg;www.august-friedberg.com;Manufacturing;Germany;50M to 75M
AURA Energy;www.aura.dk;Energy;Denmark;30M to 40M
Auriga;www.aurigaspa.com;IT Technology;Italy;20M to 30M
Australie;www.australie.com;Marketing;France;30M to 40M
Autocarrozzeria Imperiale;www.imperialegroup.it;Motor vehicle retail;Italy;20M to 30M
AutoPart SP. Z.O.O. ;www.autopart.pl;Manufacturing & Engineering;Poland;50M to 75M
Auxiliar Conservera SA;www.auxiliarconservera.es;Packaging facilities;Spain;150M to 250M
Auzou ;www.auzou.fr;Media;France;20M to 30M
Avantgarde;www.avantgarde.net;Marketing;Germany;150M to 250M
Aviland 2001 Kft;www.aviland.hu;Wholesale;Hungary;20M to 30M
Avodaq;www.avodaq.com;IT Technology;Germany;30M to 40M
Aweta G&P B.V.;www.aweta.nl;Machining;Netherlands;40M to 50M
Axis Security Services Ltd;www.axis-security.co.uk;Security;United Kingdom;50M to 75M
B Meters;www.bmeters.com;Utilities;Italy;20M to 30M
B&B Collection;www.bbcollection.ro;Retail;Romania;50M to 75M
Bader;www.bader-leather.com;Textiles;Germany;75M to 100M
Bakery;www.bakery-spa.it;Food & Drink;Italy;20M to 30M
BÄKO;www.baeko.at;Wholesale;Austria;75M to 100M
Ballande et Meneret ;www.ballande-meneret.com;Wholesale;France;75M to 100M
Banham Poultry Limited;www.banhampoultryuk.com;Agriculture/Farming/Forestry;United Kingdom;150M to 250M
Barfoots;www.barfoots.com;Agriculture/Farming/Forestry;United Kingdom;150M to 250M
Barhale Ltd ;www.barhale.co.uk;Construction/Property;United Kingdom;75M to 100M
Barlinek S.A.;www.barlinek.com;Manufacturing;Poland;150M to 250M
Baumann;www.baumann-automation.com;Machining;Germany;50M to 75M
BE | Allbrass Industrial;www.be-allbrassindustrial.com;Engineering;Netherlands;40M to 50M
Becker;www.becker-antriebe.com;Electronics;Germany;50M to 75M
Belgian Pork Group;www.belgianporkgroup.com;Food & Drink;Belgium;75M to 100M
Benders;www.benders.se;Manufacturing;Sweden;100M to 150M
Bent Brandt A/S;www.bentbrandt.dk;Wholesale;Denmark;50M to 75M
Bergkvist-Insjon AB;www.bergkvist-insjon.se;Agriculture/Farming/Forestry;Sweden;100M to 150M
BERLAT GRUPA SIA;www.berlat.lv;Food & Drink;Latvia;20M to 30M
BES Utilities;www.besutilities.co.uk/bes-electricity;Utilities;United Kingdom;75M to 100M
Besko Interieur;www.besko.com;Retail;Austria;40M to 50M
Betamotor;www.betamotor.com;Motor vehicle retail;Italy;75M to 100M
BFE;www.bfe.tv;Media;Germany;40M to 50M
BHS-Sonthofen ;www.bhs-sonthofen.de;Manufacturing & Engineering;Germany;75M to 100M
BIA Kunststoff;www.bia-kunststoff.de;Manufacturing;Germany;100M to 150M
BIG Arbeitsschutz;www.big-arbeitsschutz.de;Clothing;Germany;50M to 75M
Billetten A/S;www.billetten.dk;Consumer Services;Denmark;50M to 75M
Biocombustibles;www.biocombustibles.fr;Environmental Services;France;20M to 30M
Biolait;www.biolait.eu;Food & Drink;France;75M to 100M
Biolandes SA;www.biolandes.com;Manufacturing;France;50M to 75M
Biondini Paris;www.biondiniparis.com;Retail;France;20M to 30M
Bionorica;www.bionorica.de;Pharmaceutical/Science;Germany;250M+
Biotone Technologie;www.biotone.fr;Technology;France;20M to 30M
Blue Whale ;www.blue-whale.com;Wholesale;France;250M+
BMD Systemhaus;www.bmd.com;IT Technology;Austria;40M to 50M
BMR;www.bmr.it;Manufacturing;Italy;50M to 75M
Boge;www.boge.com;Manufacturing;Germany;100M to 150M
Bollo International Fruits;www.frutasbollo.es;Food & Drink;Spain;100M to 150M
Bona AB;www.bona.com;Chemicals;Sweden;150M to 250M
Bonliva;www.bonliva.se;Employment Services;Sweden;40M to 50M
boss design;www.bossdesign.com;Design & Manufacturing;United Kingdom;40M to 50M
Bovagne Freres;www.bovagne-freres.com;Construction/Property;France;20M to 30M
Bowden Group ;www.bowden-group.fr;Machining;France;20M to 30M
Box Technologies Ltd;www.boxtechnologies.com;IT Technology;United Kingdom;40M to 50M
Bradbury & Son (Buxton) Ltd;www.bradburyscheese.co.uk;Food & Drink;United Kingdom;75M to 100M
Bradfords Building Supplies;www.bradfords.co.uk;Construction/Property;United Kingdom;100M to 150M
Brainloop;www.brainloop.com;IT Technology;Germany;20M to 30M
Bribus B.V.;www.bribus.nl;Manufacturing;Netherlands;50M to 75M
Bridge of Weir Leather Company;www.bowleather.com;Manufacturing;United Kingdom;100M to 150M
Briggs & Forrester;www.briggsandforrester.co.uk;Construction/Property;United Kingdom;100M to 150M
Brioche Pasquier;www.briochepasquier-pro.com;Food & Drink;France;50M to 75M
Brio'Gel;www.briogel.com;Food & Drink;France;20M to 30M
Bronze Alu;www.bronze-alu.com;Manufacturing & Engineering;France;40M to 50M
BRW Filmland;www.brwfilmland.it;Media;Italy;20M to 30M
Buchholz Hydraulik;www.buchholz-hydraulik.de;Manufacturing;Germany;50M to 75M
Bürstenmann;www.buerstenmann.com;Manufacturing;Germany;30M to 40M
Busy Bees Day Nuseries ltd;www.busybeeschildcare.co.uk;Consumer Services;United Kingdom;50M to 75M
Buxton Building Contractors Limited;www.buxtonbuilding.co.uk;Construction/Property;United Kingdom;50M to 75M
BuzziSpace;www.buzzi.space;Design;Belgium;30M to 40M
C. H. Müller;www.chmueller.com;Manufacturing;Germany;50M to 75M
C.P.C.;www.cpcgroup.it;Manufacturing;Italy;40M to 50M
Caffè Borbone;www.caffeborbone.it;Food & Drink;Italy;50M to 75M
Caffo;www.caffo.com;Food & Drink;Italy;50M to 75M
Calconut;www.calconut.com;Import/Export;Spain;100M to 150M
Canoliva;www.canoliva.com;Food & Drink;Spain;50M to 75M
Cantabria Labs;www.cantabrialabs.com;Pharmaceutical/Science;Spain;100M to 150M
Canyon;www.canyon.com;Manufacturing;Germany;150M to 250M
Cappagh Contractors Construction ltd ;www.cappagh.co.uk;Construction/Property;United Kingdom;50M to 75M
Care Unbound Limited;www.hereweare.org.uk;Pharmaceutical/Science;United Kingdom;50M to 75M
Caredio Group;www.carediogroup.com;Transportation;Italy;20M to 30M
CareMalta;www.caremalta.com;Consumer Services;Malta;20M to 30M
Caritas Lebenswelten;www.caritas-lebenswelten.de;Professional Services;Germany;20M to 30M
Carl Polzin;www.c-polzin.de;Logistics;Germany;20M to 30M
Carpet Concept ;www.carpet-concept.de;Textiles;Germany;20M to 30M
Carro-Bel;www.carrobel.be;Construction/Property;Belgium;20M to 30M
Castiglia;www.castigliasrl.it;Environmental Services;Italy;30M to 40M
Cave Coopérative de Vinification du Razes;www.cavedurazes.com;Food & Drink;France;10M to 20M
cbs Corporate Business Solutions;www.cbs-consulting.com;IT Technology;Germany;50M to 75M
CCI Eurolam ;www.ccieurolam.com;Wholesale;France;20M to 30M
CCS Media Ltd;www.ccsmedia.com;IT Technology;United Kingdom;150M to 250M
CDE Global Ltd;www.cdeglobal.com;Manufacturing;United Kingdom;50M to 75M
Cenfarte;www.cenfarte.es;Consumer Services;Spain;100M to 150M
Cerealis;www.cerealis.pt;Agriculture/Farming/Forestry;Portugal;100M to 150M
Cesi;www.cesi.fr;Education;France;30M to 40M
Champagne Billertcart-Salmon ;www.champagne-billecart.fr;Food & Drink;France;50M to 75M
Charlie Bigham's;www.bighams.com;Food & Drink;United Kingdom;50M to 75M
Chateau d'Esclans;www.esclans.com;Food & Drink;France;30M to 40M
Childrensalon ;www.childrensalon.com;Retail;United Kingdom;50M to 75M
Chinatool UK Limited;ct-automotive.net;Manufacturing;United Kingdom;40M to 50M
Chr. Olesen A/S;www.chr-olesen.dk;Pharmaceutical/Science;Denmark;150M to 250M
CIACAM;www.ciacam.com;Wholesale;France;40M to 50M
Ciar;www.ciar.it;Manufacturing;Italy;30M to 40M
Cinoco;www.cinoco.com;Food & Drink;Belgium;30M to 40M
Cislion Ltd;www.cisilion.com;IT Technology;United Kingdom;50M to 75M
Clark Contracts;www.clarkcontracts.com;Construction/Property;United Kingdom;50M to 75M
Clauger;www.clauger.fr;Manufacturing & Engineering;France;100M to 150M
Claus Reformwaren Service Team;www.claus-gmbh.de;Wholesale;Germany;100M to 150M
CLC Group;www.clcgroup.com;Construction/Property;United Kingdom;100M to 150M
Click Travel Limited;www.clicktravel.com;Travel/Leisure;United Kingdom;150M to 250M
Club Opticlibre;www.opticlibre.com;Wholesale;France;100M to 150M
Club Travel;www.clubtravel.ie;Travel/Leisure;Ireland;100M to 150M
CM BV;www.cm.com;Telecommunications;Netherlands;40M to 50M
CMB Engineering LTD;www.cmbengineering.co.uk;Engineering;United Kingdom;50M to 75M
Co.ca.ma.;www.cocama.it;Retail;Italy;40M to 50M
COBA;www.coba-osnabrueck.de;Wholesale;Germany;100M to 150M
Cobana;www.cobana-fruchtring.com;Wholesale;Germany;250M+
Coenergia;www.coenergia.com;Energy;Italy;30M to 40M
Cofarca - Cooperativa Farmacéutica Canaria;www.cofarca.es;Pharmaceutical/Science;Spain;150M to 250M
Coffee Team;www.coffeeteam.be;Wholesale;Belgium;50M to 75M
Coilinter;www.coilinter.de;Wholesale;Germany;100M to 150M
Colfiorito;www.colfiorito.it;Food & Drink;Italy;30M to 40M
Colines;www.colines.it;Manufacturing & Engineering;Italy;40M to 50M
Comacchio ;www.comacchio.com;Manufacturing & Engineering;Italy;50M to 75M
Comini;www.comini.eu;Wholesale;Italy;40M to 50M
Compagnia Alimentare Italiana;www.alimentareitaliana.it;Food & drink;Italy;20M to 30M
Comping;www.comping.hr;IT Technology;Croatia ;20M to 30M
Conclusion FIT;www.conclusionfit.nl;IT Technology;Netherlands;50M to 75M
Conditess;www.conditess.de;Food & Drink;Germany;100M to 150M
Conesa Group;www.conesagroup.com;Food & Drink;Spain;100M to 150M
Congelados De Navarra, S.A.U;www.congeladosnavarra.com;Food & Drink;Spain;100M to 150M
Connect Srl;www.connectsrl.biz;Wholesale;Italy;20M to 30M
Contipro;www.contipro.com;Pharmaceutical/Science;Czech Republic;20M to 30M
Cool Gray A/S;www.coolgray.dk;Marketing;Denmark;20M to 30M
Cooperative Bureau Couecou ;www.couecou.fr;Wholesale;France;20M to 30M
Cooperative la Tricherie or La Tricherie ;www.cooptricherie.fr;Agriculture/Farming/Forestry;France;30M to 40M
