,Unnamed: 0,ticker,name,website,headquarter,employees,industry,type,source
1112,1112,VIS,Viscofan (VIS),www.viscofan.com,"PolIgono Industrial Berroa Calle Berroa nr. 15, 4a planta Tajonar, 31192 Spain",5100,Food Products,ORD,investing
1113,1113,STLA,Stellantis NV (STLA),www.stellantis.com,"Singaporestraat 92-100 Lijnden, 1175 RA Netherlands",204000,Automobiles,ORD,investing
1114,1114,ICAs,ICA Gruppen AB (ICAs),www.icagruppen.se,"Box 4075 Solna, 169 04 Sweden",24043,Food & Staples Retailing,ORD,investing
1115,1115,BNRGn,Brenntag AG (BNRGn),www.brenntag.com,"Messeallee 11 Essen, 45131 Germany",17321,Trading Companies & Distributors,ORD,investing
1116,1116,7203,Toyota Motor Corp (7203),global.toyota/en,"1 Toyota-cho Toyota, 471-8571 Japan",366283,Automobiles,ORD,investing
1117,1117,FGT,Finsbury Growth & Income Trust (FGT),www.finsburygt.com,"66 Buckingham Gate 5th Floor London, SW1E 6AU United Kingdom",-,Capital Markets,Closed-End,investing
1118,1118,BGSC,Bmo Global Smaller Companies PLC (BGSC),www.fandc.com/fandc-global-smaller-companies,"6th Floor Quartermile 4 7a Nightingale Way Edinburgh, EH3 9EG United Kingdom",-,Capital Markets,ORD,investing
1119,1119,APAM,Aperam SA (APAM),www.aperam.com,"12C, rue Guillaume Kroll Luxembourg City, 1882 Luxembourg",9400,Metals & Mining,ORD,investing
1120,1120,MCRO,Micro Focus International PLC (MCRO),www.microfocus.com,"The Lawn 22-30 Old Bath Road Newbury, RG14 1QN United Kingdom",11600,Software,ORD,investing
1121,1121,IMI,IMI PLC (IMI),www.imiplc.com,"Lakeside Solihull Parkway Birmingham Business Park Birmingham, B37 7XZ United Kingdom",10000,Machinery,ORD,investing
1122,1122,DEZG,Deutz AG (DEZG),www.deutz.com,"Ottostrasse 1 Porz-Eil Cologne, 51149 Germany",4701,Machinery,ORD,investing
1123,1123,EUR,Eurocash SA (EUR),www.eurocash.pl,"ul. Wisniowa 11 Komorniki, 62-052 Poland",21190,Food & Staples Retailing,ORD,investing
1124,1124,FIXPq,Fix Price Group Ltd (FIXPq),ir.fix-price.com,"Building 1 1st Botkinsky pr-d, 7 Moscow, 125284 Russia",-,Multiline Retail,DRC,investing
1125,1125,BOUY,Bouygues SA (BOUY),www.bouygues.com,"32 Avenue Hoche Paris, 75008 France",129000,Construction & Engineering,ORD,investing
1126,1126,SCAb,Svenska Cellulosa SCA AB B (SCAb),www.sca.com,"Skepparplatsen 1 Sundsvall, 851 88 Sweden",4000,Paper & Forest Products,ORD,investing
1127,1127,OTPB,OTP Bank Nyrt (OTPB),www.otpbank.hu,"16, Nádor Street Budapest, 1051 Hungary",38447,Banks,ORD,investing
1128,1128,ASTK,Asetek (ASTK),asetek.com,"Assensvej 2 Aalborg East Aalborg, 9220 Denmark",167,"Technology Hardware, Storage & Peripherals",ORD,investing
1129,1129,PHO,Photocure (PHO),www.photocure.com,"Hoffsveien 4 Oslo, 0275 Norway",88,Pharmaceuticals,ORD,investing
1130,1130,ACS,ACS Actividades de Construccion y Servicios SA (ACS),www.grupoacs.com,"Avenida de Pio XII, 102 Madrid, 28036 Spain",-,Construction & Engineering,ORD,investing
1131,1131,AGRODR,Ros Agro PLC (AGRODR),www.rusagrogroup.ru,"25 Aphrodite Street 3rd Floor Office 300 Nicosia, 1060 Cyprus",19344,Food Products,DRC,investing
1132,1132,DANI,Danieli & C Officine Meccaniche SpA (DANI),www.danieli.com,"Via Nazionale, 41 Buttrio, 33042 Italy",8630,Machinery,ORD,investing
1133,1133,RSW,Renishaw PLC (RSW),www.renishaw.com,"New Mills Wotton-under-Edge, GL12 8JR United Kingdom",4664,"Electronic Equipment, Instruments & Components",ORD,investing
1134,1134,MWDP,Wendel (MWDP),www.wendelgroup.com/en,"89 rue Taitbout Cedex 09 Paris, 75312 France",88344,Diversified Financial Services,ORD,investing
1135,1135,AMG,AMG Advanced Metallurgical Group NV (AMG),www.amg-nv.com,"WTC Amsterdam Toren C Strawinskylaan 1343 Amsterdam, 1077 XX Netherlands",3064,Metals & Mining,ORD,investing
1136,1136,SZUG,Suedzucker AG (SZUG),www.suedzucker.de,"Maximilianstrasse 10 Mannheim, 68165 Germany",18674,Food Products,ORD,investing
1137,1137,GCPI,GCP Infrastructure Investments Ltd (GCPI),www.graviscapital.com,"12 Castle Street Saint Helier, JE2 3RT Jersey",-,Capital Markets,ORD,investing
1138,1138,CEVI,CellaVision AB (CEVI),www.cellavision.com,"Mobilvägen 12 Lund, 223 62 Sweden",-,Health Care Equipment & Supplies,ORD,investing
1139,1139,NELES,Neles Oyj (NELES),www.neles.com,"Vanha Porvoontie 229 Vantaa, 01380 Finland",2812,Machinery,ORD,investing
1140,1140,2317q,Hon Hai Precision Industry Co Ltd ADR (2317q),www.foxconn.com,"No. 66, Zhongshan Road Tucheng Industrial Zone Tucheng District New Taipei City, 236 Taiwan",-,"Electronic Equipment, Instruments & Components",ADR,investing
1141,1141,EXHO,Sodexo SA (EXHO),www.sodexo.com,"255 Quai de la Bataille de Stalingrad Issy-les-Moulineaux, 92866 France",356662,"Hotels, Restaurants & Leisure",ORD,investing
1142,1142,GJFG,Gjensidige Forsikring ASA (GJFG),www.gjensidige.no,"Schweigaardsgate 21 Oslo, 0191 Norway",3710,Insurance,ORD,investing
1143,1143,AOXG,Alstria Office Reit-Ag (AOXG),www.alstria.com,"Steinstrasse 7 Hamburg, 20095 Germany",167,Equity Real Estate Investment Trusts (REITs),ORD,investing
