,Unnamed: 0,name,title,company_ticker,source
10376,10376,Laura Gonzalez-Molero,Independent Director,VIS,investing
10377,10377,Carmen de Pablo Redondo,Independent Director,VIS,investing
10378,10378,Robert Peugeot,Non-Executive Vice Chairman of the Board,STLA,investing
10379,10379,Ignacio Marco-Gardoqui Ibanez,Independent Vice Chairman,VIS,investing
10380,10380,Carlos Tavares,CEO & Executive Director,STLA,investing
10381,10381,Jaime Real de Asua y Arteche,Independent Director,VIS,investing
10382,10382,Cecilia Daun Wennborg,Independent Director,ICAs,investing
10383,10383,Doreen Nowotne,Independent Chairwoman of Supervisory Board,BNRGn,investing
10384,10384,Fredrik Hagglund,Director,ICAs,investing
10385,10385,Andreas Alexander Rittstieg,Independent Deputy Chairman of Supervisory Board,BNRGn,investing
10386,10386,Claes-Goran Sylven,Chairman,ICAs,investing
10387,10387,Marcus Strandberg,Deputy Director,ICAs,investing
10388,10388,John Jacob Philip Elkann,Executive Chairman of the Board,STLA,investing
10389,10389,Shigeru Hayakawa,Vice Chairman,7203,investing
10390,10390,Shigeki Terashi,"Chief Competitive Officer, Chief Project Officer, Operating Officer & Director",7203,investing
10391,10391,Andrea Gisle Joosen,Independent Director,ICAs,investing
10392,10392,Ulrich M. Harnacke,Independent Member of Supervisory Board,BNRGn,investing
10393,10393,Magnus Moberg,Director,ICAs,investing
10394,10394,Nestor Basterra Larroude,Independent & Other External Director,VIS,investing
10395,10395,Stefanie Berlinger,Independent Member of Supervisory Board,BNRGn,investing
10396,10396,Alexis M. Herman,Chairman of North American Diversity Advisory Board,7203,investing
10397,10397,Magnus Rehn,Representative Director,ICAs,investing
10398,10398,Richard Ridinger,Member of Supervisory Board,BNRGn,investing
10399,10399,Wijnand P. Donkers,Independent Member of Supervisory Board,BNRGn,investing
10400,10400,Gilbert Fran Casellas,Member of North American Diversity Advisory Board,7203,investing
10401,10401,Jonathon Clarke,Representative Director,ICAs,investing
10402,10402,Ann Frances Godbehere,Independent Non–Executive Director,STLA,investing
10403,10403,Hiroshi Ozu,Outside Audit & Supervisory Board Member,7203,investing
10404,10404,Anette Wiotti,Director,ICAs,investing
10405,10405,Charlotte Svensson,Independent Director,ICAs,investing
10406,10406,Howard W. Buffett,Member of North American Diversity Advisory Board,7203,investing
10407,10407,Jose Maria Aldecoa Sagastasoloa,Lead Independent Director,VIS,investing
10408,10408,Lennart Evrell,Independent Director,ICAs,investing
10409,10409,Teiko Kudo,Independent Outside Director,7203,investing
10410,10410,Bo Sandstrom,Director,ICAs,investing
10411,10411,Mike Bafan,Chairman of Toyota Manufacturing de Baja California & Toyota Motor Manufacturing de Guanajuato,7203,investing
10412,10412,Kevin Scott,Independent Non-Executive Director,STLA,investing
10413,10413,Fredrik Persson,Independent Director,ICAs,investing
10414,10414,Yoko Wake,Outside Audit & Supervisory Board Member,7203,investing
10415,10415,Daniela Fagernas,Deputy Director,ICAs,investing
10416,10416,Koei Saga,"Senior Managing Officer, Chief Officer of Toyota Gazoo Racing Factory & Chairman of Power Train Co.",7203,investing
10417,10417,Jose Domingo de Ampuero y Osma,Executive Chairman,VIS,investing
10418,10418,Yoshimi Inaba,"Executive Advisor and Executive Chairman of Toyota Motor Sales, U.S.A., Inc.",7203,investing
10419,10419,Neil A. Collins,Director,FGT,investing
10420,10420,Nobuyuki Hirano,Outside Audit & Supervisory Board,7203,investing
10421,10421,Philip Craven,Independent Outside Director,7203,investing
10422,10422,Phyllis J. Campbell,Member of North American Diversity Advisory Board,7203,investing
10423,10423,Jacques de Saint-Exupery,Non-Executive Director,STLA,investing
10424,10424,Santiago Domecq Bohorquez,Nominee Director,VIS,investing
10425,10425,Masahide Yasuda,Full Time Audit & Supervisory Board Member,7203,investing
10426,10426,Leslie Gray Cullen,Non-Executive Director,BGSC,investing
10427,10427,Sandra Kelly,Director,FGT,investing
10428,10428,Katsuyuki Ogura,Full-time Audit & Supervisory Board Member,7203,investing
10429,10429,Lakshmi Nivas Mittal,Chairman,APAM,investing
10430,10430,Karen Slatford,Senior Independent Non-Executive Director,MCRO,investing
10431,10431,Haruhiko Kato,Full-Time Audit & Supervisory Board Member,7203,investing
10432,10432,Nicolas Dufourcq,Independent Non-Executive Director,STLA,investing
10433,10433,Agatha Echevarria Canales,Independent & Other External Director,VIS,investing
10434,10434,Ikuro Sugawara,Independent Outside Director,7203,investing
10435,10435,Josephine Dixon,Non-Executive Director,BGSC,investing
10436,10436,Jyoti Chopra,North American Diversity Advisory Board,7203,investing
10437,10437,David Hunt,Senior Independent Director,FGT,investing
10438,10438,Federico F. Peña,Member of North American Diversity Advisory Board,7203,investing
10439,10439,Koji Kobayashi,"Chief Risk Officer, Operating Officer & Director",7203,investing
10440,10440,Alain Kinsch,Independent Director,APAM,investing
10441,10441,Richard Charles Atkins,Independent Non-Executive Director,MCRO,investing
10442,10442,James Kuffner,"Director, Operating Officer & Chief Digital Officer of Advanced R&D and Engineering Company",7203,investing
10443,10443,Anja Maria Balfour,Non-Executive Director,BGSC,investing
10444,10444,Juan March de la Lastra,Nominee Director,VIS,investing
10445,10445,Wan Ling Martello,Independent Non-Executive Director,STLA,investing
10446,10446,Roy M. Twite,CEO & Director,IMI,investing
10447,10447,James Lowry,Member of North American Diversity Advisory Board,7203,investing
10448,10448,John Allard,Non-Executive Director,FGT,investing
10449,10449,Stephen Murdoch,CEO & Director,MCRO,investing
10450,10450,Bernadette Baudier,Independent Director,APAM,investing
10451,10451,Kenta Kon,"CFO, Operating Officer, Chief Officer of Accounting Grp & Director",7203,investing
10452,10452,Jose Antonio Canales Garcia,"CEO, General MD & Executive Director",VIS,investing
10453,10453,Daniel J. Shook,Finance Director & Director,IMI,investing
10454,10454,Fiona Clare Cicconi,Independent Non-Executive Director,STLA,investing
10455,10455,Vanessa Renwick,Non-Executive Director,FGT,investing
10456,10456,Takeshi Uchiyamada,Chairman of the Board,7203,investing
10457,10457,Joseph Greenwell,Independent Director,APAM,investing
10458,10458,Matthew Ashley,CFO & Director,MCRO,investing
10459,10459,Shoichiro Toyoda,Honorary Chairman,7203,investing
10460,10460,Hans Peter Finken,Member of Supervisory Board,DEZG,investing
10461,10461,Andrea Agnelli,Non-Executive Director,STLA,investing
10462,10462,Akio Toyoda,"CEO, Chief Branding Officer, President & Representative Director",7203,investing
10463,10463,J. Anthony V. M. Townsend,Non-Independent & Non-Executive Chairman,FGT,investing
10464,10464,Robert Haldane Smith,Chairman of the Board,IMI,investing
10465,10465,Alexander M. van't Noordende,Independent Non-Executive Director,MCRO,investing
10466,10466,Aditya Mittal,Non-Independent Director,APAM,investing
10467,10467,Dietmar Voggenreiter,Independent Member of Supervisory Board,DEZG,investing
10468,10468,Henri Rene Marie Augustin de la Croix de Castries,Senior Independent Director,STLA,investing
10469,10469,Przemyslaw Budkowski,Member of the Supervisory Board,EUR,investing
