"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Vicki L Solway","Pediatrics","Beaumont Hospital, Royal Oak","39","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Isabel Holland-Davis","Pediatrics","Beaumont Hospital, Royal Oak","33","Female","English","Pediatrics","University of Michigan Hospitals and Health Centers",""
"Erin C Duchan","Pediatrics","Beaumont Hospital, Royal Oak","13","Female","English","Newborns Pediatrics Teenagers","Kalamazoo Center for Medical Studies",""
"Mark B Wein","Family Medicine","Beaumont Hospital, Trenton","29","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Hospital",""
"Sumit N Fogla","Family Medicine","Beaumont Hospital, Dearborn","19","Male","English Gujarati Hindi Punjabi Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine","4.8 out of 5"
"Alissa N Citron","Family Medicine","Beaumont Hospital, Royal Oak","21","Female","English Hebrew Spanish","Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center","4.6 out of 5"
"Asha H Patel","Internal Medicine","Beaumont Hospital, Royal Oak","41","Female","English Hindi","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Vinod K Mohey","Family Medicine","Beaumont Hospital, Trenton","48","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Louisville School of Medicine",""
"T J Hassan","Internal Medicine","Beaumont Hospital, Dearborn","39","Male","Arabic English Italian","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Ghazwan A Atto","Internal Medicine","Beaumont Hospital, Dearborn","29","Male","Arabic English","Adults Geriatrics","Providence Hospital and Medical Center",""
"James P Rosbolt","Family Medicine","Beaumont Hospital, Grosse Pointe","19","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Detroit Medical Center/Wayne State University","4.8 out of 5"
"Brandy A Eberhardt","Family Medicine","Beaumont Hospital, Royal Oak","16","Female","English","Pediatrics Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Thomas J Bering","Internal Medicine","Beaumont Hospital, Royal Oak","30","Male","English","Adults Geriatrics","Detroit Medical Center",""
