active_years,agency_links,agency_names,association_links,association_names,birth_name,birth_place,bloodtype,family,family_links,fandom,fandom_colors,group_debut,height,instruments,legal_name,link,name,occupation,partner_links,partners,socials,solo_debut,weight
2016-2018,https://kpop.fandom.com//wiki/J_Planet_Entertainment,J Planet Entertainment,https://kpop.fandom.com//wiki/MASC,MASC,Kim Ji-hoon (김지훈),,,,,,,"August 19, 2016",171 cm,,,https://kpop.fandom.com/wiki/26,26,"Rapper, director",,,"https://www.instagram.com/j1hoon_k/,https://twitter.com/KayJi90",,56 kg
2013–present,,,https://kpop.fandom.com//wiki/Bebop,Bebop,Seong Hyo-jin (성효진),South Korea,,,,,,"February 14, 2014",162 cm (5 ft 4 in),"Drums, piano",,https://kpop.fandom.com/wiki/A-Yeon_(musician),A-Yeon,"Musician, singer",,,"https://www.facebook.com/ayeon3131,https://www.instagram.com/ayeon3131/,https://www.weibo.com/ayeon3131,https://www.youtube.com/channel/UCdld7SHk9IyYSkNrHA9B6Dw","July 28, 2018",41 kg (90 lb)
2021–present,https://kpop.fandom.com//wiki/C9_Entertainment,C9 Entertainment,https://kpop.fandom.com//wiki/EPEX,EPEX,Cho Min-woo (조민우),"Namyangju, Gyeonggi-do, South Korea",O,,,,,"June 8, 2021",175 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/A-Min_(EPEX),A-Min,Singer,,,,,54 kg (119 lb)
2016-2018,https://kpop.fandom.com//wiki/J_Planet_Entertainment,J Planet Entertainment,https://kpop.fandom.com//wiki/MASC,MASC,Kim Dae-sung (김대성),,,,,,,"August 19, 2016",173 cm,,,https://kpop.fandom.com/wiki/ACE_(MASC),ACE,Rapper,,,"https://www.instagram.com/aceseaaiite/,https://soundcloud.com/acesea,https://twitter.com/ACESEAAIITE",,55 kg
2017–present,https://kpop.fandom.com//wiki/Liz_Entertainment,Liz Entertainment,"https://kpop.fandom.com//wiki/ICU,https://kpop.fandom.com//wiki/CHIC%26IDLE,https://kpop.fandom.com//wiki/YJIG,https://kpop.fandom.com//wiki/Chic_Angel","ICU,CHIC&IDLE,YJIG,Chic Angel",Yang Jung-hee (양정희),,A,,,,,"February 16, 2017",167 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Abin_(ICU),Abin,Singer,,,"https://www.instagram.com/icu_abin/,https://twitter.com/icu_abin",,
2018-present,,,,,,,,,,,,,,,,https://kpop.fandom.com/wiki/A.L,A.L,Singer,,,,"December 3, 2018",
2011,,,"https://kpop.fandom.com//wiki/Leader%27S,https://kpop.fandom.com//wiki/Leader%27S_G","Leader'S,Leader'S G","Seoul, South Korea",South Korea,,,,,,,,,,https://kpop.fandom.com/wiki/Aeni_(Leader%27S),Aeni,,,,,,
2015–present,https://kpop.fandom.com//wiki/A_team,A team,https://kpop.fandom.com//wiki/VAV,VAV,Jang Woo-young (장우영),"Anyang, South Korea",AB,,,,Red,"October 31, 2015",177 cm (5 ft 10 in),,,https://kpop.fandom.com/wiki/Ace_(VAV),Ace,Singer,,,https://www.instagram.com/ace.vav/,,63 kg (139 lb)
2013,,,https://kpop.fandom.com//wiki/LIVE_HIGH,LIVE HIGH,Yoon Young-ah (윤영아),,B,,,,,"July 30, 2013",164 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/A.Jia,A.Jia,Singer,,,,,45 kg (99 lb)
2015–present,,,"https://kpop.fandom.com//wiki/Cashcoma,https://kpop.fandom.com//wiki/VIVIDIVA","Cashcoma,VIVIDIVA",Lee Go-oon (이고운),,,,,,,,166 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/A-Min_(Cashcoma),A-Min,Singer,,,,,49 kg (108 lb)
2015–present,,,https://kpop.fandom.com//wiki/PPL,PPL,Oh Ji-in (오지인),"Cheonan, South Korea",AB,,,,,,174 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/A_Zi_(PPL),A Zi,"Model, singer",,,https://www.instagram.com/azi_aziazi/,,49 kg (108 lb)
2017–present,,,https://kpop.fandom.com//wiki/SHA_SHA,SHA SHA,Choi Aryeom (최아렴),South Korea,A,,,,,"June 25, 2021 (Seasoning)",165 cm (5 ft 5 in),,,https://kpop.fandom.com/wiki/A_Ryeom,A Ryeom,,,,https://www.instagram.com/a._.roming/,,
2018–present,,,https://kpop.fandom.com//wiki/BECZ,BECZ,Park Seong-soo (박성수),,,,,,,"March 13, 2020",180 cm,,,https://kpop.fandom.com/wiki/Alek,Alek,Singer,,,https://www.instagram.com/alek_su0407/,,65 kg
2019–present,"https://kpop.fandom.com//wiki/Yue_Hua_Entertainment,https://kpop.fandom.com//wiki/JYP_Entertainment","Yue Hua Entertainment,JYP Entertainment",https://kpop.fandom.com//wiki/EVERGLOW,EVERGLOW,Heo Yoo-rim (허유림),"Suwon, Gyeonggi-do, South Korea",B,,,,Black,"March 18, 2019",176 cm (5 ft 9 in),,,https://kpop.fandom.com/wiki/Aisha,Aisha,"Singer, rapper",,,,,55 kg (121 lb)
2020–present,,,https://kpop.fandom.com//wiki/ALPHA_RAY,ALPHA RAY,Zhalinova Aiganym (Жалинова Айғаным),"Aktobe, Kazakhstan",,,,"ZHULDYZ (Жұлдыз),Aikostars (Aйкoжұлдыз)",,,,,,https://kpop.fandom.com/wiki/Aiganym,Aiganym,Trainee,,,https://www.instagram.com/azhkzkr18/,,
2013–present,https://kpop.fandom.com//wiki/KJ_Music_Entertainment,KJ Music Entertainment,"https://kpop.fandom.com//wiki/TST,https://kpop.fandom.com//wiki/NOM","TST,NOM",Kim A-in (김아인),"Asan, Chungcheongnam-do, South Korea",O,,,,,,182 cm,,,https://kpop.fandom.com/wiki/Ain_(TST),Ain,Singer,,,"https://www.instagram.com/ainismxx/,https://twitter.com/AIN8008,https://www.youtube.com/channel/UCm4cCjsw3cG-IZoBz8maJcw",,64 kg
2020–present,https://kpop.fandom.com//wiki/ANS_Entertainment,ANS Entertainment,https://kpop.fandom.com//wiki/MAJORS,MAJORS,Jang Min-ju (장민주),"Busan, South Korea",,,,,,"March 9, 2021",168 cm (5 ft 6 in),,,https://kpop.fandom.com/wiki/Aki_(MAJORS),Aki,Singer,,,"https://www.instagram.com/a_hzosmo/,https://www.tiktok.com/@aki._.ika",,48 kg (106 lb)
2017–present,https://kpop.fandom.com//wiki/ONO_Entertainment,ONO Entertainment,https://kpop.fandom.com//wiki/LIMITLESS_(group),LIMITLESS,Seong Hyun-woo (성현우),South Korea,,,,,,"July 9, 2019",,,,https://kpop.fandom.com/wiki/A.M,A.M,"Rapper, singer",,,https://www.instagram.com/a_stru_m/,"February 18, 2021",
