active_group_links,active_group_names,active_group_periods,active_years,age,albums,awards,birthday,bloodtype,company_links,company_names,company_periods,country,debut,debut_to_1st_win,education,fandom,former_group_links,former_group_names,former_group_periods,full_name,fun_facts,gender,height,hometown,introduction,korean_stage_name,kpopping_rank,languages,native_name,personality_type,profile_link,socials,stage_name,training_period,weight,zodiac_sign
https://kpopping.com/profiles/group/Starex,Starex,(2018-2021),2014-2021,,0,0,,,,,"2014-2021,3620th",South Korea,,,,,,,,Jo Hyun-soo,,M,,,"!magnic!, born Jo Hyun-soo (조현수) is a South Korean rapper who debuted under AVLX in 2014.",,3620th,,조현수,,https://kpopping.com/profiles/idol/magnic,"https://www.instagram.com/1mgnc1/,https://soundcloud.com/1magnic1",!magnic!,,,
,,,2017-2021,23 years old,0,0,"March 12, 1998",,,,"2017-2021,English, Chinese, Korean,1269th",United States,,,,,https://kpopping.com/profiles/group/VARSITY,VARSITY,(2017-2020),Anthony Lo,,M,"5'11"" (180 cm)",,Anthony is a Chinese-American member of Varsity.,앤써니,1269th,"English,Chinese,Korean",Anthony Lo,,https://kpopping.com/profiles/idol/Anthony,https://www.instagram.com/i.m.american/,Anthony,,125.7 lbs (57 kg),Pisces
,,,2019-2021,21 years old,0,0,"December 30, 1999",0,https://kpopping.com/company/ESteem-Entertainment,ESteem Entertainment,"January 1, 2019 - present,2019-2021,English, French, Korean,2981st",South Korea,,,,,,,,Anzardi Timothée,,M,"5'11"" (180 cm)",,"Anzardi Timothee (앙자르디 디모데) is a French-Korean trainee and model under ESteem Entertainment. He was first known for appearing and competing on the survival program ""Produce X 101""",앙자르디 디모데,2981st,"English,French,Korean",앙자르디 디모데,,https://kpopping.com/profiles/idol/Anzardi-Timothee,"https://www.instagram.com/tim_0thee/,https://www.tiktok.com/@tim_0thee",Anzardi Timothée,,149.9 lbs (68 kg),Capricorn
"https://kpopping.com/profiles/group/NU-EST,https://kpopping.com/profiles/group/NU-EST-W","NU'EST,NU'EST W","(2012-2021),(2017-2018)",2012-2021,28 years old,0,0,"May 21, 1993",A,,,"March 15, 2012,2012-2021,English, Korean,Loyola High School,986th,L.O.Λ.E",United States,"March 15, 2012",,Loyola High School,L.O.Λ.E,,,,Kwak Young Min,"Aron sang Ne-Yo's ""So Sick"" and got 1st place during the 2010 Pledis USA Auditions,Aron appeared in After School Blue's ""Wonderboy"" MV along with Baekho, Ren, Minhyun, JR, and SEVENTEEN's S.Coups,Aron got accepted to New York University for Journalism but chose to go to Korea after passing an audition",M,"5'8"" (173 cm)","Los Angeles, California",,아론,986th,"English,Korean",곽영민,,https://kpopping.com/profiles/idol/Aron,https://www.instagram.com/nuestaron/?hl=en,Aron,,125.7 lbs (57 kg),Gemini
,,,2011-2021,27 years old,0,0,"October 16, 1994",AB,,,"March 16, 2017,2011-2021,Korean, Chinese, and English,Seneca College,1796th,R.O.S.e",Hong Kong SAR China,"March 16, 2017",,Seneca College,R.O.S.e,https://kpopping.com/profiles/group/Seven-O-Clock,Seven O’Clock,(2017-2021),Lui Chunyeung,,M,"5'10"" (178 cm)",,,앤디,1796th,"Korean,Chinese,English",吕振阳,,https://kpopping.com/profiles/idol/Andy2,,Andy,,,Libra
,,,2020-2021,21 years old,0,0,"January 13, 2000",,,,"May 1, 2020,2020-2021,Jungwon High School,986th",South Korea,"May 1, 2020",,Jungwon High School,,,,,Kang Min-soo,,M,"6'2"" (186 cm)",,"AQUINAS is a South Korean independent rapper and songwriter. He made his official debut on May 1, 2020 with single “Oh!”.",,986th,,강민수,,https://kpopping.com/profiles/idol/AQUINAS,"https://soundcloud.com/aquinas01,https://www.instagram.com/loveyourAQUINAS/?hl=ko",AQUINAS,,,Capricorn
,,,2014-2021,30 years old,0,0,"May 11, 1991",A,,,"2014-2021,Korean,4882nd",South Korea,,,,,,,,Jeong Dongsu,,M,"5'7"" (170 cm)",,"Jeong Dongsu (정동수) is a South Korean singer and rapper under Enterarts Entertainment. He debuted as a member of the duo ""AA"" and participated in the hit survival program ""Produce 101 Season 2"".",정동수,4882nd,Korean,Jeong Dongsu,,https://kpopping.com/profiles/idol/Arkay,"https://www.facebook.com/naneundongsu,https://www.instagram.com/naneundongsu",Arkay,,143.3 lbs (65 kg),Taurus
https://kpopping.com/profiles/group/MBA,MBA,(2015-2021),2019-2021,25 years old,0,0,"November 11, 1996",,https://kpopping.com/company/Stoneship,Stoneship,"January 1, 2020 - present,2019-2021,2128th",South Korea,,,,,,,,Moon Ju-yeong,,M,,,"Anngyeungjaebee (안경잽이), born Moon Ju-yeong (문주영) is a South Korean rapper and singer who debuted under Stoneship in 2020.",안경잽이,2128th,,문주영,,https://kpopping.com/profiles/idol/Anngyeungjaebee,"https://www.instagram.com/m.b.a_anngyeungjaebee/,https://www.youtube.com/channel/UCqcGjhFbzcHBw5IaMATb1bg",Anngyeungjaebee,,,Scorpio
https://kpopping.com/profiles/group/Shinhwa,Shinhwa,(1998-2021),1998-2021,40 years old,0,0,"January 21, 1981",0,"https://kpopping.com/company/TOP-Media,https://kpopping.com/company/KISS-Entertainment","TOP Media,KISS Entertainment","July 1, 2005 - present,April 1, 2010 - present,March 24, 1998,1998-2021,Korean,Korea Kent Foreign School,1115th",South Korea,"March 24, 1998",,Korea Kent Foreign School,,,,,Lee Sun Ho,,M,"5'9"" (175 cm)","Yeongdeungpo-gu, Seoul",,앤디,1115th,Korean,이선호,,https://kpopping.com/profiles/idol/Andy,"https://www.instagram.com/andyofficial___/,http://itopgroup.co.kr/bbs/page.php?hid=ANDY",Andy,,136.7 lbs (62 kg),Aquarius
https://kpopping.com/profiles/group/PRSNT,PRSNT,(2019-2021),,,0,0,,,https://kpopping.com/company/BIXIZ-XOUND,BIXIZ XOUND,"October 1, 2019 - present,3809th",South Korea,,,,,,,,Hong Kwang Hee,,M,6' (183 cm),,,올즈웰,3809th,,,,https://kpopping.com/profiles/idol/ALLZWELL,"https://twitter.com/allzwellmusic,https://www.instagram.com/allzwellmusic/,https://www.youtube.com/watch?v=kl7AWAWS71M&feature=youtu.be",ALLZWELL,,,
