medical_specialty;doc_name;hospital;hospital_affiliations;doc_special_expertise;hospital_address;hospital_telephone
Family Medicine;Susana Ajoy Alfonso, MD;Emory at Dunwoody, Family Medicine; Emory University Hospital Midtown, Emory University Hospital; preventive medicine, women’s health, diabetes;4500 North Shallowford Road, Dunwoody, 30338;404-778-6920
Family Medicine;Claudio S. Bondulich, MD;Emory at Decatur Primary Care; Emory Decatur Hospital; chronic illness;2675 North Decatur Road, Suite 601, Decatur, 30033;404-501-2900
Family Medicine;George W. Brown, MD;Department of Family Medicine; Wellstar Atlanta Medical Center; geriatric medicine;Wellstar Atlanta Medical Center, 1000 Corporate Center Drive, Suite 200, Morrow, 30260;770-968-6464
Family Medicine;Dwana M. Bush, MD;HIPnation; Emory Saint Joseph’s Hospital; complementary medicine, palliative care, preventive medicine;11660 Alpharetta Highway, 200 Building, Suite 285, Roswell, 30076;404-255-5774
Family Medicine;Thomas E. Gearhard, MD;Wellstar Medical Group; preventive medicine, diabetes;;Cobb Family Medicine, 1790 Mulkey Road, Suite 8, Austell, 30106;770-944-1830
Family Medicine;Marti R. Gibbs, MD;The Longstreet Clinic Department of Family Medicine; Northeast Georgia Medical Center; diabetes;4222 Fairbanks Drive, Oakwood, 30566;770-534-6053
Family Medicine;Vinaya Gokki, MD;JenCare Senior Medical Center; chronic illness, preventive medicine, women’s health, hypertension;;2084 Headland Drive, East Point, 30344;404-965-5691
Family Medicine;Clarke Latimer, MD;Piedmont Physicians of Midtown Family Practice; Piedmont Medical Center;;1080 Peachtree Street NE, Suite 12, Atlanta, 30309;404-253-3660
Family Medicine;Lawrence J. McAleer, MD;The Southeast Permanente Medical Group; Emory Saint Joseph’s Hospital;;Townpark Medical Center, 750 Townpark Lane NW, Kennesaw, 30144;404-365-0966
Family Medicine;Rolf W. Meinhold, MD;MDVIP; Wellstar North Fulton Hospital; concierge medicine, preventive medicine, adolescent medicine, integrative medicine;2702 Abbey Court, Alpharetta, 30004;770-789-1398
Family Medicine;Nelly Mizrahi, MD;Emory at Duluth Family Practice; Emory Johns Creek Hospital; preventive medicine;4245 Pleasant Hill Road, Duluth, 30096;770-622-0880
Family Medicine;Brian K. Nadolne, MD;East Cobb Family Medicine; Northside Hospital; preventive medicine;1121 Johnson Ferry Road, Building 1, Suite 320, Marietta, 30068;770-509-0017
Family Medicine;Christina N. Nguyen, MD;Northeast Georgia Physicians Group; Northeast Georgia Medical Center; obesity, nutrition, disease prevention/control;4754 Martin Road, Flowery Branch, 30542;770-848-9130
Family Medicine;Shetal Patel, MD;Perimeter North Medical Associates; Northside Hospital;;960 Johnson Ferry Road NE, Atlanta, 30342;770-395-1130
Family Medicine;C. Steven Schramm, MD;Family Practice Center of Atlanta; Piedmont Atlanta Hospital, Emory Saint Joseph’s Hospital; preventive medicine;993 Johnson Ferry Road NE, Suite F210, Atlanta, 30342;404-256-1727
Family Medicine;Elizabeth T. Sergile, MD;Perimeter North Medical Associates; Northside Hospital;;3400-A Old Milton Parkway, Suite 130, Alpharetta, 30005;770-395-1130
Family Medicine;Michael P. Seyfried, MD;Emory Practice Associates; Emory Saint Joseph’s Hospital, Northside Hospital;;1776 Old Spring House Lane, Suite 200, Atlanta, 30338;404-251-4786
Family Medicine;Daryl Sherrod, MD;DeKalb Family Medicine; Emory Decatur Hospital; preventive medicine;8052 Mall Parkway, Suite 103, Lithonia, 30038;678-672-4093
Family Medicine;Steven O. Stewart, MD;Stewart Family Medicine; Emory Decatur Hospital, Emory University Hospital Midtown; preventive medicine, hypertension, diabetes;4500 Hugh Howell Road, Suite 220, Tucker, 30084;770-469-0668
Allergy & Immu­nology;Amy W. Boyd, MD;The Allergy, Asthma & Sinus Center; Northeast Georgia Medical Center; allergy and asthma;528 Broad Street SE, Suite B, Gainesville, 30501;770-534-0534
Family Medicine;Leah C. Tobin, MD;Family Practice Center of Atlanta;;;993 Johnson Ferry Road NE, Suite F210, Atlanta, 30342;404-256-1727
Family Medicine;Bassam Tomeh, MD;First Medical Care; Emory Decatur Hospital; preventive medicine, cardiovascular disease, chronic illness, cholesterol/lipid disorders;2536 Lawrenceville Highway, Decatur, 30033;770-934-6832
Allergy & Immu­nology;Ariana D. Buchanan, MD;Peachtree Allergy & Asthma Clinic; Piedmont Atlanta Hospital;;150 Clinic Avenue, Suite 102, Carrollton, 30117;404-351-7520
Allergy & Immu­nology;Thomas Chacko, MD;Chacko Allergy; allergic rhinitis, asthma, immunotherapy, food allergy;;3333 Old Milton Parkway, Suite 520, Alpharetta, 30005;678-668-4688
Family Medicine;James M. Toth, MD;The Southeast Permanente Medical Group; Northside Hospital, Northside Hospital Lawrenceville; preventive medicine;Sugar Hill/Buford Medical Center, 1435 Broadmoor Boulevard, Sugar Hill, 30518;404-365-0966
Family Medicine;Elizabeth C. Vevera, MD;Perimeter North Medical Associates; Northside Hospital; preventive medicine;1505 Northside Boulevard, Suite 4400, Cumming, 30041;678-513-8800
Allergy & Immu­nology;Grace Chiang, MD;Wellstar Allergy & Asthma; Wellstar Cobb Hospital, Wellstar Kennestone Hospital; allergy and asthma;3747 Roswell Road, Suite 205, Marietta, 30062;470-956-9050
Allergy & Immu­nology;Deidre D. Crocker, MD;The Allergy & Asthma Center; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite; allergy and asthma;565 Old Norcross Road, Lawrenceville, 30046;770-995-5131
Family Medicine;Tracey C. Wallace, MD;Northside Family Medicine & Urgent Care; Northside Hospital;;4800 Olde Towne Parkway, Suite 150, Marietta, 30068;770-509-1025
Allergy & Immu­nology;Stanley M. Fineman, MD;Atlanta Allergy & Asthma; Wellstar Kennestone Hospital, Children’s Healthcare of Atlanta at Scottish Rite; asthma and allergy, food allergy, anaphylaxis;790 Church Street, Suite 150, Marietta, 30060;770-427-1471
Allergy & Immu­nology;Erinn T. Gardner, MD;Atlanta Allergy & Asthma; Piedmont Atlanta Hospital; asthma, allergic rhinitis, cough (chronic);4645 Timber Ridge Drive, Suite 160, Doug­lasville, 30135;770-953-3331
Allergy & Immu­nology;George R. Gottlieb, MD;; Emory Decatur Hospital; food and drug allergy, allergy and asthma, insect allergy, sinus disorders;2311 Henry Clower Boulevard, Suite B, Snellville, 30078;770-979-3796
Adolescent Medicine;Byron C. Cotton, MD;Kids & Teens Primary Healthcare; Children’s Healthcare of Atlanta at Egleston; preventive medicine, obesity;2785 Lawrenceville Highway, Suite 207, Decatur, 30033;770-621-0245
Allergy & Immu­nology;Linda D. Guydon, MD;Atlanta Allergy & Asthma; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; asthma, sinus disorders;6300 Hospital Parkway, Suite 250, Johns Creek, 30097;770-495-6258
Allergy & Immu­nology;Amy H. Hirsh, MD;Peachtree Allergy & Asthma Clinic; Piedmont Atlanta Hospital; allergy and asthma;1800 Peachtree Street NW, Suite 720, Atlanta, 30309;404-351-7520
Adolescent Medicine;Holly C. Gooding, MD;Adolescent Health Clinic, Children’s at Hughes Spalding; Children’s Healthcare of Atlanta at Hughes Spalding; adolescent gynecology, reproductive health;35 Jesse Hill Jr. Drive SE, Atlanta, 30303;404-785-9850
Adolescent Medicine;Karen Hacker, MD;Piedmont Physicians at White Oak; addiction/substance abuse, adolescent behavior (high risk), preventive medicine;;1825 East Highway 34, Suite 3000, Newnan, 30265;770-252-6767
Allergy & Immu­nology;Lily G. Hwang, MD;Atlanta Allergy & Asthma; Piedmont Atlanta Hospital; allergy and asthma;1357 Hembree Road, Suite 200, Roswell, 30076;770-953-3331
Allergy & Immu­nology;Lisa J. Kobrynski, MD;Children’s Physician Group; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Hughes Spalding; immune deficiency, immunotherapy;Children’s Specialty Services, 2015 Uppergate Drive NE, Atlanta, 30322;404-785-5437
Adolescent Medicine;Yolanda H. Wimberly, MD;Morehouse Healthcare; Grady Memorial Hospital, Children’s Healthcare of Atlanta at Hughes Spalding; sexually transmitted diseases;1800 Howell Mill Road, Atlanta, 30318;404-756-1400
Allergy & Immu­nology;Theodore M. Lee, MD;Peachtree Allergy & Asthma Clinic; Piedmont Atlanta Hospital; asthma, urticaria;1800 Peachtree Street NW, Suite 720, Atlanta, 30309;404-351-7520
Allergy & Immu­nology;Keith I. Lenchner, MD;Atlanta Allergy & Asthma; Piedmont Atlanta Hospital; allergy and asthma;2045 Peachtree Road, Suite 800, Atlanta, 30309;404-351-5711
Allergy & Immu­nology;Michael J. Maloney, MD;Advanced Allergy of North Georgia; Northeast Georgia Medical Center; allergy and asthma, immunotherapy;100 College Avenue SE, Gainesville, 30501;678-971-5005
Allergy & Immu­nology;Lawrence P. McKean, MD;Atlanta ENT, Sinus & Allergy Associates; Children’s Healthcare of Atlanta at Egleston, Emory Decatur Hospital; cystic fibrosis, infections (recurrent), asthma and allergy;17 Executive Park Drive NE, Suite 250, Atlanta, 30329;678-904-4390
Allergy & Immu­nology;Kevin L. Schaffer, MD;Atlanta Allergy & Asthma; Eastside Medical Center; asthma and allergy, allergic rhinitis;1780 Presidential Circle, Suite 200, Snellville, 30078;770-953-3331
Allergy & Immu­nology;Kathleen A. Sheerin, MD;Atlanta Allergy & Asthma; Children’s Healthcare of Atlanta at Scottish Rite, Piedmont Atlanta Hospital; food allergy, anaphylaxis;600 Professional Drive, Suite 210, Lawrenceville, 30046;770-953-3331
Allergy & Immu­nology;Jon E. Stahlman, MD;The Allergy & Asthma Center; Children’s Healthcare of Atlanta at Egleston, Piedmont Rockdale Hospital; asthma, sinus disorders, eczema, food allergy;1755 Parker Road, Suite A120, Conyers, 30094;770-922-5696
Allergy & Immu­nology;David D. Tanner, MD;Atlanta Allergy & Asthma; Northside Hospital; allergy and asthma;2045 Peachtree Road, Suite 800, Atlanta, 30309;404-351-5711
Allergy & Immu­nology;Brian P. Vickery, MD;Children’s Physician Group, Allergy and Immunology; Children’s Healthcare of Atlanta at Scottish Rite, Children’s Healthcare of Atlanta at Egleston; food allergy, asthma, atopic dermatitis, eosinophil disorders;1400 Tullie Road NE, Atlanta, 30329;404-785-5437
Allergy & Immu­nology;John D. Vickery, MD;Center for Allergy & Asthma of Georgia; Piedmont Newnan Hospital; asthma, allergy, immunology;1615 East Highway 34, Suite A, Newnan, 30265;770-459-0620
Addiction Psychiatry;Justine W. Welsh, MD;Emory Clinic; Emory University Hospital; addiction/substance abuse;12 Executive Park Drive NE, Atlanta, 30329;404-778-5526
Internal Medicine;Kelly J. Ahn, MD;Sandy Springs Internal Medicine; Emory Saint Joseph’s Hospital, Northside Hospital; concierge medicine;755 Mount Vernon Highway NE, Suite 500, Atlanta, 30328;678-252-6370
Allergy & Immu­nology;Lawrence P. McKean, MD;Atlanta ENT; Children's Healthcare of Atlanta at Egleston, Emory Decatur Hospital; cystic fibrosis, infections (recurrent), asthma and allergy;17 Executive Park Drive NE, Suite 250, Atlanta, 30329;678-904-4390
Allergy & Immu­nology;Kevin L. Schaffer, MD;Atlanta Allergy & Asthma; Eastside Medical Center; asthma and allergy, allergic rhinitis;1780 Presidential Circle, Suite 200, Snellville, 30078;678-280-0202
Pediatrics;Thomas V. Adamkiewicz, MD;Perimeter Pediatrics; Children’s Healthcare of Atlanta at Egleston, Northside Hospital;;3020 Mercer University Drive, Suite 100, Atlanta, 30341;770-458-3383
Internal Medicine;Julius O. Ajayi, MD;First Foundation Medical Clinic; Northside Hospital Lawrenceville; hypertension;2930 Horizon Park Drive, Suite C, Suwanee, 30024;678-546-2840
Cardiovascular Disease;Ayushi Ahuja, MD;Wellstar Cardiovascular Medicine; Wellstar Kennestone Hospital, Wellstar Cobb Hospital;;55 Whitcher Street NE, Suite 350, Marietta, 30060;770-424-6893
Child & Adolescent Psychiatry;Jagan K. Chilakamarri, MD;Atlanta Psychiatric Institute; Emory University Hospital; ADD/ADHD, bipolar/mood disorders, depression, autism and developmental disorders;2103 Macy Drive, Roswell, 30076;770-992-2778
Allergy & Immu­nology;Kathleen A. Sheerin, MD;Atlanta Allergy & Asthma; Children's Healthcare of Atlanta at Scottish Rite, Northside Hospital; food allergy, anaphylaxis;600 Professional Drive, Suite 210, Lawrenceville, 30046;770-953-3331
Allergy & Immu­nology;Jon E. Stahlman, MD;The Allergy & Asthma Center; Children's Healthcare of Atlanta at Egleston, Piedmont Rockdale Hospital; asthma, sinus disorders, eczema, food allergy;1755 Parker Road, Suite A120, Conyers, 30094;770-922-5696
Cardiac Electrophysiology;Joon Ahn, MD;The Heart Center of Northeast Georgia Medical Center; Northeast Georgia Medical Center; arrhythmias;200 South Enota Drive, Suite 200, Gainesville, 30501;770-534-2020
Geriatric Medicine;Carole S. Gardner, MD;The Southeast Permanente Medical Group;;;Medical Center at Gwinnett, 3650 Steve Reynolds Boulevard, Duluth, 30096;404-365-0966
Gastroenterology;Basil S. Al-Awabdy, MD;Atlanta Gastroenterology Associates; Wellstar Kennestone Hospital, Northside Hospital Cherokee; liver disease, therapeutic endoscopy;488 Kennesaw Avenue NW, Suite 200, Marietta, 30060;770-427-3075
Pediatrics;Roy Benaroch, MD;Pediatric Physicians; Children’s Healthcare of Atlanta at Scottish Rite, Northside Hospital;;11050 Crabapple Road, Suite 120, Roswell, 30075;770-518-9277
Pediatrics;Larry V. Clements, MD;Kenmar Pediatrics, Wellstar Medical Group; Wellstar Kennestone Hospital; newborn care;760 Kennesaw Avenue, Marietta, 30060;770-427-0183
Internal Medicine;Paul T. Baird, MD;Emory at Saint Joseph’s Hospital Primary Care; Emory Saint Joseph’s Hospital; preventive medicine;5673 Peachtree Dunwoody Road, Suite 500, Atlanta, 30342;404-778-6100
Internal Medicine;Ibrez R. Bandukwala, MD;Laureate Medical Group; Northside Hospital; men’s health;6135 Barfield Road, Suite 200, Atlanta, 30328;404-649-6999
Obstetrics & Gynecology;Carlos I. Alarcon, MD;Marietta Obstetrics-Gynecology; Wellstar Kennestone Hospital;;Kennestone Outpatient Pavilion, 699 Church Street, Suite 220, Marietta, 30060;770-422-8505
Cardiovascular Disease;Bruce E. Alayof, MD;Wellstar Cardiovascular Medicine; Wellstar Cobb Hospital;;1700 Hospital South Drive, Suite 409, Austell, 30106;770-732-9100
