medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Infectious Diseases;ABMS Internal Medicine;Albert M. L. Anderson, MD, MHS;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Duke University Medical Center;University of North Carolina School of Medicine;;Duke University Medical Center
Otolaryngology;;Mark  Arnold, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;MINNESOTA MEDICAL SCHOOL;SUNY Upstate Medical University;
Neurosurgery;ABMS Surgery;Faiz U. Ahmad, MD, MCh, FAANS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Jackson Memorial Hospital;All India Institute of Medical Asari Nager;;Jackson Memorial Hospital
Pediatric Medicine;ABMS Pediatrics;Melissa C. Adams, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Diagnostic Radiology;ABMS Radiology;Eugene A. Berkowitz, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas Houston Health Science Center;Tulane University School of Medicine;Tulane University School of Medicine;Tulane University School of Medicine
Internal Medicine;ABMS Internal Medicine;Omar S. Ahmad, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Baqai Medical College;Capital Health Regional Medical;Capital Health Regional Medical Center
Diagnostic Radiology;ABMS Radiology;Michael  Aguilar, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Arkansas for Medical Sciences;University of Arkansas for Medical Sciences;University of South Alabama
Internal Medicine;ABMS Internal Medicine;Bhavin B. Adhyaru, MS, MD, FACP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Florida;;Emory University Hospital
Surgical Critical Care;;Stephanie   Busby, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;West Virginia University School of Medicine;;University of Tennessee Health Science Center, Memphis
Emergency Medicine;ABMS Emergency Medicine;Selin  Caglar, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Vermont College of Medicine;;Baystate Medical Center
Pediatric Infectious Diseases;ABMS Pediatrics;Andres  Camacho-Gonzalez, MD, MSc;Male;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University School of Medicine;Colegio Mayor Nuestra Senora Del Rosario;Albert Einstein College of Medicine;Albert Einstein College of Medicine
Dermatology;ABMS Dermatology;Laura Delong  Aspey, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;University of Maryland Medical Center
Diagnostic Radiology;ABMS Radiology;Walter A. Carpenter, PhD, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Vascular Surgery;ABMS Surgery;Jamie  Benarroch-Gampel, MD, MS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington University School of Medicine;La Universidad del Zulia;;New York Presbyterian Hospital
Radiology;ABMS Radiology;Zachary L. Bercu, MD, RPVI;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mount Sinai School of Medicine;Emory University School of Medicine;Saint Vincent Catholic Medical;Mount Sinai School of Medicine
